# peak_position, peak_width, peak_intensity
2.719030513027278051e+00,8.633831488081584737e-01,1.714127578926669173e+02
2.901754244005033012e+00,6.243806945075515147e-01,2.323852662759364307e+02
2.869546347630143934e+00,7.249133336042228315e-01,2.111826727947525626e+02
2.830074476184460064e+00,8.125304208659652749e-01,1.917026383127394240e+02
2.786996702303634610e+00,8.646391858171588174e-01,1.827933582430767387e+02
2.747409769792232392e+00,8.609735834843633695e-01,1.775663972387521312e+02
2.710766291974806563e+00,8.397547254169211994e-01,1.774239850006712800e+02
2.678443388964546479e+00,8.041294832737108100e-01,1.826367239483677736e+02
2.649994062050803567e+00,7.688977846290118157e-01,1.919420079484862924e+02
2.624304744493865638e+00,7.305045090973804056e-01,2.057665062383737506e+02
2.960002096413310468e+00,5.218500356148891850e-01,2.941540612285197085e+02
2.942730651462566627e+00,5.486874617481575234e-01,2.692836930862718532e+02
2.918976115359680712e+00,5.964334736000245218e-01,2.532193141307952260e+02
2.892158551156313262e+00,6.568643458204516117e-01,2.276619790634871663e+02
2.859028775549384171e+00,7.435269295028344994e-01,2.045882147263807838e+02
2.818908602562508303e+00,8.252076510002186449e-01,1.890667128892685014e+02
2.778299488540068474e+00,8.604685891167587197e-01,1.814702893198214042e+02
2.740995527260559950e+00,8.547111921459706885e-01,1.787141930286021250e+02
2.705307087119071419e+00,8.270508237357662162e-01,1.806967442984108914e+02
2.675143226842132904e+00,7.975257109155671209e-01,1.887368580487801637e+02
2.647477901371805054e+00,7.549097287934013467e-01,1.968558250681543313e+02
2.622035463050890858e+00,7.143496916936519225e-01,2.080268718865167727e+02
2.599747464860141744e+00,6.730972610188713512e-01,2.187533299434117851e+02
2.983143397648869932e+00,4.898586306955209912e-01,3.295302806502268140e+02
2.970172448616028582e+00,5.086282692106006698e-01,3.074312472774612388e+02
2.953515581216905161e+00,5.358911698131919588e-01,2.874407808542003409e+02
2.935379631386031196e+00,5.679976635792913786e-01,2.677300702276576772e+02
2.911386998450055330e+00,6.183294320165492186e-01,2.460892548658910925e+02
3.005792319476014107e+00,8.354249352329408129e-01,2.458266285045058339e+02
2.846683995825415980e+00,7.779866092102152297e-01,2.004147583610928507e+02
2.808945594288180025e+00,8.221171647334554189e-01,1.856240998803963294e+02
2.770173419893505962e+00,8.482118133614378053e-01,1.782462043519304302e+02
2.733024344340720280e+00,8.487350007218253944e-01,1.781073276703446879e+02
2.699366967874945900e+00,8.253262733370742010e-01,1.828842960951236591e+02
2.669383686002378742e+00,7.842168133133311514e-01,1.879241668618526262e+02
2.643858209589779573e+00,7.416511795746244529e-01,1.969960673330967893e+02
2.620022584246956665e+00,7.036101647492930544e-01,2.093529373014845589e+02
2.598522188670690181e+00,6.753297247206546672e-01,2.228545886135759417e+02
2.999018246786315789e+00,4.605111740510964280e-01,3.780327510076660928e+02
2.990289825672757473e+00,4.797390781391175363e-01,3.512641449126547286e+02
2.979032562935337580e+00,5.005025884306291140e-01,3.270188051928619757e+02
2.965689678324756606e+00,5.203212356848843090e-01,3.042130297546081010e+02
2.949963428976236646e+00,5.487008934319097531e-01,2.855974620601273841e+02
2.929611045827313021e+00,5.839775594569712736e-01,2.622177584089565130e+02
2.905534302268014457e+00,6.292291467646319303e-01,2.362316490868663266e+02
2.874845154989336571e+00,7.003419652462935518e-01,2.112170757124415275e+02
2.836559437761538849e+00,7.889595108827663905e-01,1.938909954032117184e+02
2.797818309207151799e+00,8.354219344659109536e-01,1.823628529182521163e+02
2.760735318499651036e+00,8.429549535382800940e-01,1.756760244573387695e+02
2.725834112952591148e+00,8.390922907635557371e-01,1.771239514314434018e+02
2.693966931949467902e+00,8.092929804597337462e-01,1.814328660023652162e+02
2.666952977535343106e+00,7.676567287568417663e-01,1.864105090553848640e+02
2.642589552350572468e+00,7.289014242880028638e-01,1.959706386928226607e+02
2.618230551668419448e+00,7.034055834308909905e-01,2.094619826476542528e+02
2.596910626600699157e+00,6.801473843875812664e-01,2.247536537550655851e+02
3.018013537509044220e+00,2.517465765791023213e-01,5.826302706515800764e+02
3.003639940651566143e+00,4.422493973629209041e-01,3.974848149127137731e+02
2.996857184119143369e+00,4.691014109416873912e-01,3.658790721840229025e+02
2.987902100795273519e+00,4.866869200641255611e-01,3.434097984272568169e+02
2.975927899576994218e+00,5.065824271365175768e-01,3.216623624706068654e+02
2.962367600762978892e+00,5.281250601308263848e-01,2.981054222173054313e+02
2.946206954163284042e+00,5.588115593697341454e-01,2.738110569333145463e+02
2.926066802207037298e+00,5.937979136819230286e-01,2.466513765892387937e+02
2.900517632353920128e+00,6.515040838309287263e-01,2.253239570583339741e+02
2.865416372941748779e+00,7.439213296367026551e-01,2.060738419364169545e+02
2.828248727312506094e+00,7.956658435801787776e-01,1.869537714085632558e+02
2.787859459413948748e+00,8.461885507929495231e-01,1.819171271269750605e+02
2.751414396085731351e+00,8.489360022946869089e-01,1.764240939018299628e+02
2.718561585258908231e+00,8.355451492756517107e-01,1.757074892019714696e+02
2.689926617576658519e+00,7.927012460463820354e-01,1.786958478805177037e+02
2.664291935801477607e+00,7.649626996126236422e-01,1.864876143351530686e+02
2.639007321334284839e+00,7.321254861350680043e-01,1.957079903033405230e+02
2.616314797207531573e+00,6.972741758598564044e-01,2.061970230195289844e+02
2.594008793656465972e+00,6.705791829745118005e-01,2.168575196298903052e+02
3.027543269738174114e+00,7.914000835773322973e-02,1.619673969605193179e+03
3.026985175165862518e+00,1.239408986375091642e-01,1.006247879640144220e+03
3.010202330835221041e+00,3.909282474320434075e-01,4.447051203777086243e+02
3.002078436837073649e+00,4.564585958316483838e-01,3.866308616918695407e+02
2.994337242541774913e+00,4.770164843085809014e-01,3.585460221241130512e+02
2.984770042031968718e+00,4.912870171910104222e-01,3.280924095399470843e+02
2.973048003671796113e+00,5.111113338007413631e-01,3.068428887723388812e+02
2.959268326405531280e+00,5.363273818139324689e-01,2.862420488345017588e+02
2.943738317351433320e+00,5.642058006478620769e-01,2.640203792656830046e+02
2.921830920015615618e+00,6.152220016218848953e-01,2.438998472772496768e+02
2.894818407225048240e+00,6.818745528365731667e-01,2.192187778437302086e+02
2.858364420469124312e+00,7.719495969104781530e-01,1.995790919966132719e+02
2.821101952977619121e+00,8.156264132856673177e-01,1.844497910916863930e+02
2.779603217581437136e+00,8.479062214212578219e-01,1.755734502763758940e+02
2.745375736791923593e+00,8.400500935465265995e-01,1.707021446691613562e+02
2.712510717448223030e+00,8.119629216162814744e-01,1.725333983588005538e+02
2.687462963789954529e+00,7.791796833185609117e-01,1.774259291696777439e+02
2.658800246859415850e+00,7.496099805916203174e-01,1.829803412055829028e+02
2.634673989489947576e+00,7.259968586240926891e-01,1.930215374913794619e+02
2.612513864200826319e+00,6.945047656078436882e-01,2.027445169869263282e+02
2.589526278963250494e+00,6.738311590194984158e-01,2.016370662210407545e+02
3.029513620980360145e+00,7.406477490966380250e-02,1.877613002174627809e+03
3.029733010333199417e+00,8.878707567681183577e-02,1.399418409121308741e+03
3.023809843210485404e+00,2.438324700039133930e-01,6.049820037655481428e+02
3.009811004363587728e+00,4.379344671765999508e-01,4.085120196510571873e+02
3.002575109215036342e+00,4.639109264221590312e-01,3.752123106385710685e+02
2.994156026492023059e+00,4.820627155678131048e-01,3.486846891871632579e+02
2.982702955350202689e+00,4.991337478058227028e-01,3.251148990876425273e+02
2.970480647430593812e+00,5.168727986667702723e-01,2.990658364840159038e+02
2.955250226438327132e+00,5.435684186947594698e-01,2.751348816493512004e+02
2.939595161759933628e+00,5.755020982904079929e-01,2.519678800312026397e+02
2.919335417993772719e+00,6.207006484450336981e-01,2.299435420935008096e+02
2.891327795515777677e+00,6.997172052132402120e-01,2.099296822766464459e+02
2.855001009665765643e+00,7.795108933754651970e-01,1.914298969178715311e+02
2.817168237741626058e+00,8.245733334930566150e-01,1.781552374713916151e+02
2.777310032073087243e+00,8.310219510812087984e-01,1.702643857263838072e+02
2.740849870799312527e+00,8.377379881546375140e-01,1.712176802813574454e+02
2.708542117217108025e+00,8.151866683499412458e-01,1.707738160522339683e+02
2.679266133175248310e+00,7.883458375251924943e-01,1.746779294928584818e+02
2.652667602348337095e+00,7.554036081856723150e-01,1.781603133677908204e+02
2.630026470452100362e+00,7.300294943077927368e-01,1.885754552398660167e+02
2.609346485669086668e+00,6.993426117786862850e-01,1.898998529708330523e+02
3.030826964792145528e+00,6.786996095796826722e-02,2.514844469516682693e+03
3.031457923468110049e+00,7.094998481612248276e-02,2.143629873836820025e+03
3.031756648222699635e+00,7.701948886539899952e-02,1.727139198305409536e+03
3.032250391446516424e+00,1.105377968949488032e-01,1.110971639555817546e+03
3.017770116002437497e+00,3.758944859879229106e-01,4.546086597884614093e+02
3.010075970220142061e+00,4.528366389306046624e-01,3.891490518201167674e+02
3.004547481321690583e+00,4.671314247743154624e-01,3.545664434084358732e+02
2.995517995397920963e+00,4.858218433009032222e-01,3.362598720393050371e+02
2.985858245473508532e+00,5.022756224647824119e-01,3.085813930619596590e+02
2.970825900477803927e+00,5.251543218035871208e-01,2.906344408441738665e+02
2.964913480135932033e+00,5.284652590283981377e-01,2.580203802578783439e+02
2.936386700414792106e+00,5.886710476891335864e-01,2.471178101937755969e+02
2.914192717423752743e+00,6.424082531126265039e-01,2.246929501401207290e+02
2.896761049297883694e+00,6.458266957297835731e-01,1.875635990353117108e+02
2.852099997200646886e+00,7.778641274668368633e-01,1.851258296237494108e+02
2.814311779627490573e+00,8.254007329731869458e-01,1.768650048947846187e+02
2.777574439741527179e+00,8.525598405522725187e-01,1.707720568363861844e+02
2.742230519798165567e+00,8.389267262217166010e-01,1.668656743743380559e+02
2.709540560217333027e+00,8.114761944334898391e-01,1.681098822019786496e+02
2.679686329222418451e+00,7.783349406602504406e-01,1.697902574874300399e+02
2.651793376341317288e+00,7.580387816528139089e-01,1.765083965888427713e+02
2.629244962200624869e+00,7.245377971422185537e-01,1.749885116248970292e+02
2.602528938474679698e+00,7.066494515295946854e-01,1.798318649453644014e+02
3.032553512934275108e+00,6.599993627043398980e-02,2.780008026834240354e+03
3.033293916152467684e+00,6.873375734527920056e-02,2.404597063519589483e+03
3.033546119814000352e+00,7.288368365139157035e-02,2.000630641065151394e+03
3.034520555208379822e+00,8.208825398039489019e-02,1.538591741648787547e+03
3.030609150727171741e+00,2.132464575353932301e-01,6.683859550795600626e+02
3.017986342937046373e+00,4.298091981776656634e-01,4.104945794285395095e+02
3.012581023382647327e+00,4.586357537493597203e-01,3.742046651949019633e+02
3.005869947399403941e+00,4.756865881902809234e-01,3.464851128922680346e+02
2.999939018028110915e+00,4.901579106850298406e-01,3.183788967390805169e+02
2.987726029300169284e+00,5.093487381067182129e-01,3.010314067830816498e+02
2.975794223087520507e+00,5.303813148065674721e-01,2.765459229389999223e+02
2.960181054662551769e+00,5.600995104690816850e-01,2.558167378867722732e+02
2.940001005379281107e+00,5.939263303157128471e-01,2.330352598769809731e+02
2.915229304271311772e+00,6.478005106502154886e-01,2.148850769312730051e+02
2.884391132092406718e+00,7.301882198369460397e-01,1.971364672401483915e+02
2.850913234022268039e+00,7.894567241075137742e-01,1.819566764902703540e+02
2.817692958297799866e+00,8.325856663823951731e-01,1.748888562103394122e+02
2.783923280846152704e+00,8.327317911730107713e-01,1.678618092069973216e+02
2.750945930550093621e+00,8.285291954198493736e-01,1.672110377541555692e+02
2.720126063068214695e+00,8.034859808249296131e-01,1.653443121406046146e+02
2.688572877750865064e+00,7.793993508482840449e-01,1.663705746763547779e+02
2.663133163151433003e+00,7.531754888761080791e-01,1.659579322186946513e+02
2.636407158876147072e+00,7.266143022648662297e-01,1.706174006822307945e+02
3.035288732304895820e+00,6.413325378912691777e-02,3.021540458691865297e+03
3.035241517863847438e+00,6.671451685646477558e-02,2.651537567999566363e+03
3.036313894980882999e+00,7.018507906141349673e-02,2.262294356351669194e+03
3.037392050741096305e+00,7.541047118151696094e-02,1.837543416825895974e+03
3.039027193364863155e+00,1.012461420490859826e-01,1.226025773084925731e+03
3.026994663841554800e+00,3.473704973498215054e-01,4.793500906291288288e+02
3.021671489897961305e+00,4.479161117290914040e-01,3.929070227563345270e+02
3.016664902810826110e+00,4.666901536050964139e-01,3.638002100572954873e+02
3.010976924227539264e+00,4.812811312811953179e-01,3.359777498423586621e+02
3.002124565933556255e+00,4.963298370255304071e-01,3.111822908161425971e+02
2.992269064857236316e+00,5.152061384661984489e-01,2.900853328684161738e+02
2.979751374737069636e+00,5.364589206057870374e-01,2.682672204944679493e+02
2.965323087803701796e+00,5.658497429060580508e-01,2.465427558145015041e+02
2.945387294793815780e+00,6.114725144521925282e-01,2.252826627730781581e+02
2.920666545550694604e+00,6.704178313421580437e-01,2.043796126868640215e+02
2.885805780586511382e+00,7.622090081091372760e-01,1.888195763801099645e+02
2.853711522510112619e+00,8.065404158472695428e-01,1.745590332855566089e+02
2.820131652735631711e+00,8.396836996118435259e-01,1.708961501222252082e+02
2.790110516364966209e+00,8.354847088473112970e-01,1.674165325722653677e+02
2.758086132122747447e+00,8.214871189955195163e-01,1.654254255564923142e+02
2.729251665931022863e+00,7.982265014999359032e-01,1.664796523755192936e+02
2.704886626615204737e+00,7.696940117974256923e-01,1.646239387279647985e+02
2.676298664183026865e+00,7.430697171454508920e-01,1.670923965652575873e+02
3.038167102727312496e+00,6.179702019069151231e-02,3.327215555325560672e+03
3.038466356432955706e+00,6.483546729703081046e-02,2.914871263355498286e+03
3.038592044948911219e+00,6.811394416001916030e-02,2.519238503050091822e+03
3.039216949320132866e+00,7.193671035229701194e-02,2.107057389655059069e+03
3.040637468542795929e+00,7.772217685551566224e-02,1.657506522870388380e+03
3.039689915265549214e+00,1.837999358509794234e-01,7.461635123947511374e+02
3.027597200965018942e+00,4.233356017355091039e-01,4.224749531037829797e+02
3.024905347268993516e+00,4.567343243830461752e-01,3.799930509594763635e+02
3.020430833989278252e+00,4.729434680300548255e-01,3.528492065185378692e+02
3.014629815655867073e+00,4.862507769606930763e-01,3.252718105203231289e+02
3.007158645496459393e+00,5.007624828613216339e-01,3.001013823970284307e+02
2.996958190940231859e+00,5.185660707094880140e-01,2.799670041152867839e+02
2.984267004141127444e+00,5.399638079114992273e-01,2.534819245854656913e+02
2.970181079535986868e+00,5.687826484407340066e-01,2.333224027220430798e+02
2.951007131034896425e+00,6.166243114769797140e-01,2.134013120709065845e+02
2.926747892605699342e+00,6.885203338772714066e-01,1.932155847746431618e+02
2.892117948764154178e+00,7.907446721254125510e-01,1.759495980538619335e+02
2.857108547043680780e+00,8.319578496893856867e-01,1.631874526389251798e+02
2.824310366879411838e+00,8.392404287553062447e-01,1.580773882548560039e+02
2.790285800684264128e+00,8.450959878542805281e-01,1.594245043062144873e+02
2.762075200383737883e+00,8.267409446123398231e-01,1.596050517769029966e+02
2.736017895145658407e+00,7.899837578921630188e-01,1.553917624239565498e+02
2.703733972637883287e+00,7.801430586986572990e-01,1.579538851093986978e+02
3.399999999999851585e+00,5.953016425776627152e-01,6.782325992949850502e+01
3.040074632403598542e+00,5.961628239532615336e-02,3.591133043877785894e+03
3.040380493330543388e+00,6.262788015910795980e-02,3.179650705189813834e+03
3.040572848924572025e+00,6.596617093818081534e-02,2.772913583614484196e+03
3.041445266701362726e+00,6.946721140256274796e-02,2.353153873619015030e+03
3.042773600312110638e+00,7.405495361630434759e-02,1.929628281577679445e+03
3.045091667305518612e+00,9.097557949910013708e-02,1.346477055374381962e+03
3.036890574692382661e+00,3.165816285405065322e-01,5.060633803792516119e+02
3.032015424531068426e+00,4.416089744475803491e-01,3.956995491683185264e+02
3.028686841832773258e+00,4.610387889137950168e-01,3.642226854829527269e+02
3.025061788683073516e+00,4.729291183545191180e-01,3.340480297636590308e+02
3.019311669452527269e+00,4.909264030529011391e-01,3.116116152879727679e+02
