# peak_position, peak_width, peak_intensity
3.011338046262686419e+00,5.061875782121647571e-01,2.903864119814080027e+02
3.000605745336470509e+00,5.227618047747779606e-01,2.681503526616183422e+02
2.989131781721857006e+00,5.464776406888920413e-01,2.451500074756104368e+02
2.975311264345709361e+00,5.813002654371978162e-01,2.275686365475985156e+02
2.956898393247043177e+00,6.256823398395232605e-01,2.069179379738903890e+02
2.931607886321619727e+00,7.153089701133946710e-01,1.863124292904909964e+02
2.899450732512283135e+00,8.150397513988435483e-01,1.651481185686920981e+02
2.863571392312960651e+00,8.676399073118198357e-01,1.529783144567071531e+02
2.827129388477853222e+00,8.926320632579819447e-01,1.485921558509207614e+02
2.798211449924413063e+00,8.689338639879055082e-01,1.457330460554408376e+02
2.763739262868303292e+00,8.231739981950185747e-01,1.398422592192361833e+02
2.734992342498907547e+00,8.153413908927706899e-01,1.427226194045691727e+02
3.399999999997346034e+00,8.104837658539839618e-01,4.542843740007061371e+01
3.041798768598257929e+00,5.727124409480174871e-02,3.869433197910580930e+03
3.042175027162007606e+00,6.048277779156096406e-02,3.443908991904513186e+03
3.042419239992037561e+00,6.390520860701727479e-02,3.014336885122202148e+03
3.043045284542810425e+00,6.726526817422386062e-02,2.606550523067661743e+03
3.044552661755794531e+00,7.101354040852989047e-02,2.178141894934391530e+03
3.046608687136270088e+00,7.581381687649522971e-02,1.741552914797305675e+03
3.048008849703582435e+00,1.491017901536774160e-01,8.569796251721485305e+02
3.037668809870877062e+00,4.063681919164337519e-01,4.280307628996477547e+02
3.036577328658659258e+00,4.504835007421789661e-01,3.793415353397664944e+02
3.033746437626752002e+00,4.647797743637659962e-01,3.492550009303249112e+02
3.029575794350818363e+00,4.790114532556294380e-01,3.239586812232817010e+02
3.023388066317973077e+00,4.935971672250211717e-01,3.018536980382688171e+02
3.015628678327282319e+00,5.114890224518034989e-01,2.811090737457102477e+02
3.007010264563734658e+00,5.278385523985459349e-01,2.576518507223625534e+02
2.996832288601339656e+00,5.485699378239582424e-01,2.346897739202324260e+02
2.982231688570222250e+00,5.796678675674903358e-01,2.180044704744113062e+02
2.965549885665573981e+00,6.256299606163276961e-01,1.983342807428473122e+02
2.942591213006435780e+00,7.054270869655712151e-01,1.760255283659631118e+02
2.908508831668322081e+00,8.291466034510275307e-01,1.570858224969439618e+02
2.873422325631743490e+00,8.867123623851164149e-01,1.426270065764325636e+02
2.835157791137135508e+00,9.108790302486675650e-01,1.364371085767130296e+02
2.794434583635002856e+00,9.052037466676766675e-01,1.274716897875964321e+02
2.761577877526164571e+00,8.953069391708944336e-01,1.286658306131111260e+02
3.043123790723943234e+00,5.507094542058268288e-02,4.104922554807899360e+03
3.043859958839420177e+00,5.802204344248169249e-02,3.683693411785829994e+03
3.044753552524405826e+00,6.170748752498592116e-02,3.272381275354833633e+03
3.045751615247602739e+00,6.514368637099587911e-02,2.839695370931029174e+03
3.046929787659911515e+00,6.876158580860826375e-02,2.422708404258789415e+03
3.048947986093781370e+00,7.306248772303246264e-02,1.999245263944780163e+03
3.052531496253150678e+00,8.350010230971488534e-02,1.468160718004344744e+03
3.047359086755200952e+00,2.762076646825291637e-01,5.408597977026188346e+02
3.042869896060321988e+00,4.344162571480751356e-01,3.932641111930183797e+02
3.041439186156378760e+00,4.580669777319050784e-01,3.638923036956284705e+02
3.039263346853241732e+00,4.692483041734248350e-01,3.353658829148661198e+02
3.035199991526580821e+00,4.822765509104297021e-01,3.105304290217201810e+02
3.029086513821839244e+00,4.983791352734019964e-01,2.912965155455480044e+02
3.023077851025192331e+00,5.126513215697141579e-01,2.679078095429921973e+02
3.014673279727924982e+00,5.302745419141446925e-01,2.475686344880231218e+02
3.004146432446380022e+00,5.532512964990786708e-01,2.264062478473436215e+02
2.990091380579445790e+00,5.776881814261826120e-01,2.067523674148668249e+02
2.974792087820928188e+00,6.255279694839290805e-01,1.880210975382536560e+02
2.952007846688233350e+00,7.217735512705090173e-01,1.681341394769973476e+02
2.920022811241508531e+00,8.532076474839263014e-01,1.486142450663968759e+02
2.884891528234670766e+00,9.170624445681564429e-01,1.355156348348483277e+02
2.862341111493867274e+00,9.943479879043873870e-01,8.579163661619398340e+01
2.800575931521466444e+00,9.509852072501788767e-01,1.224658516211217858e+02
3.047162305218901857e+00,5.223989064182774089e-02,3.477439277379101895e+03
3.048025071220828330e+00,5.512012271297999505e-02,3.132623038766664649e+03
3.048769136166655791e+00,5.873152184150940563e-02,2.815287755189518975e+03
3.049579132784726809e+00,6.235815279365956865e-02,2.442608071699805805e+03
3.050229298737664685e+00,6.575112843271441188e-02,1.963255741193507674e+03
3.052537309086793549e+00,7.013114475358335487e-02,1.823680796519608975e+03
3.055443685141778332e+00,7.441190197237554371e-02,1.517371905008256817e+03
3.058700696730977331e+00,1.229108930661105548e-01,8.358220534346429531e+02
3.050599133477700065e+00,3.765137029812907765e-01,3.833431086862743200e+02
3.049615861237305658e+00,4.451795266095014414e-01,3.467208579002992792e+02
3.048405410740242960e+00,4.609507386634074666e-01,3.340874813482044488e+02
3.044754068022104576e+00,4.716801588178704541e-01,3.198483477689738379e+02
3.041165561502660708e+00,4.858838645934843714e-01,2.965625147437060605e+02
3.036698995637077569e+00,4.937402545761105377e-01,2.775743224710369645e+02
3.032241119287327091e+00,5.147428104294339279e-01,2.535627352280890250e+02
3.022697357298655518e+00,5.358344704783440937e-01,2.374405876572986642e+02
3.013164288691625448e+00,5.565516405520956056e-01,2.174085031208095984e+02
3.000412830281395937e+00,5.824164225789308924e-01,1.976115779389467662e+02
2.987338677003066767e+00,6.183553087914697155e-01,1.797057017828844607e+02
2.965370749199618405e+00,7.162764024342721525e-01,1.589492982575613667e+02
2.931974067712550536e+00,8.881273550926683802e-01,1.393912674343038987e+02
2.897880512795974806e+00,9.651319030060395709e-01,1.251693920958943096e+02
2.864331062358617341e+00,9.973281284644754940e-01,1.174813225535137633e+02
3.059888284059020247e+00,5.091888612098215139e-02,3.637103666255780354e+03
3.060832820476232286e+00,5.352970971391678157e-02,3.266863589267576117e+03
3.061266952515219852e+00,5.674928064904330438e-02,2.922756122146254256e+03
3.062466192297658818e+00,6.043459070650948617e-02,2.597205803238266526e+03
3.063697354307771015e+00,6.419611203129435562e-02,2.250170123919366688e+03
3.065178952529910017e+00,6.800131107108513262e-02,1.898809391520410827e+03
3.067348161704388065e+00,7.237529781808445251e-02,1.574169897072302547e+03
3.071352133185577316e+00,8.229731377152674221e-02,1.142023252331008507e+03
3.067855025460158203e+00,2.659866271776933910e-01,4.152246195136161191e+02
3.066185952472539888e+00,4.273269817880401278e-01,2.991948366624205278e+02
3.065678590732180187e+00,4.492735196712994150e-01,2.704372236481901837e+02
3.064481605530408714e+00,4.601099319990047953e-01,2.523905567031690396e+02
3.062181865277092463e+00,4.736328869659509055e-01,2.350580978608005864e+02
3.058840792084991378e+00,4.848750820913552140e-01,2.169067413566901337e+02
3.055522199757108925e+00,4.944796512767311580e-01,1.973489529339754824e+02
3.048484783911080243e+00,5.112433787801088370e-01,1.844069300403042462e+02
3.041515157063907626e+00,5.252396822088314376e-01,1.638258703090631343e+02
3.035478201979920687e+00,5.435291332398891617e-01,1.395351893704697090e+02
3.029608291600018433e+00,5.746601600105862850e-01,1.132259627394359711e+02
3.048387134826965550e+00,6.958261567530293901e-01,7.140975600691275815e+01
3.343055923125092921e+00,9.999999999999998890e-01,4.616705015838432757e+01
3.399999999999998135e+00,9.999999999999736877e-01,2.971433453282165971e+01
2.882108654095534739e+00,8.211356098315687468e-01,4.389441423404025500e+02
3.073886640354704713e+00,5.217920991980661005e-02,3.425289414671831310e+03
3.074698078479354724e+00,5.519647133904123648e-02,3.082959232682981565e+03
3.075510313885259972e+00,5.871890379704217816e-02,2.739396773958208541e+03
3.076404655918446363e+00,6.250924616981273774e-02,2.382301359635807330e+03
3.078221440345084492e+00,6.635230427845152656e-02,2.051844099528376773e+03
3.080418461136101183e+00,7.040687006513482449e-02,1.716733220992950237e+03
3.083993826865522703e+00,7.417541837369086288e-02,1.386995273168673975e+03
3.086404570835463712e+00,1.399421201781877178e-01,6.468470618096590670e+02
3.081642707590833918e+00,3.870643834959245910e-01,3.164640747989683405e+02
3.082387684378514070e+00,4.421939188811920829e-01,2.778820462110612652e+02
3.081251986024583278e+00,4.556692608063280248e-01,2.580683230865963651e+02
3.080092659038024205e+00,4.629192541106044168e-01,2.343012606393095894e+02
3.077224321201937673e+00,4.774246701486691835e-01,2.226597234308315478e+02
3.074129305306241289e+00,4.866652676373357522e-01,2.046084080609238356e+02
3.070298541944446402e+00,5.018635112882369187e-01,1.885031055867444820e+02
3.062926900741138603e+00,5.192754759737046033e-01,1.781103186066264641e+02
3.057139775794965431e+00,5.272020451931607177e-01,1.614103766264394721e+02
3.048470273161490773e+00,5.400190236625722617e-01,1.475150718463683290e+02
3.036895198492636005e+00,5.716055384054810062e-01,1.346183174129683948e+02
3.023723312737187197e+00,5.976074186316567838e-01,1.195852802155301902e+02
3.004078740435017103e+00,6.677420104334017559e-01,1.072491810991578802e+02
3.086517329003088062e+00,5.086361710633001409e-02,3.533408645517522928e+03
3.087249060911581022e+00,5.370336790536832383e-02,3.192484944214748339e+03
3.088152283745285498e+00,5.707946100505330994e-02,2.856654866075223254e+03
3.089098362085246130e+00,6.077302581817646543e-02,2.541649811631877128e+03
3.090638682449220909e+00,6.463961892454297975e-02,2.192179012754103042e+03
3.092798711650558197e+00,6.868377628580431271e-02,1.847537193996040060e+03
3.095614753520602225e+00,7.294110539221147771e-02,1.514736034407609623e+03
3.100289502565743316e+00,8.504018687802918086e-02,1.028911271558484259e+03
3.097378837202159563e+00,2.853706388047725917e-01,3.786106397898066120e+02
3.098643412309952883e+00,4.282414300400487761e-01,2.827495195794338656e+02
3.097586995842166679e+00,4.506556983839706265e-01,2.647666771290782890e+02
3.096900946647483277e+00,4.619583029826899723e-01,2.467825547078884938e+02
3.096316955859427456e+00,4.700800546798640789e-01,2.272137108961814818e+02
3.093376147118751529e+00,4.783020954725327178e-01,2.094826206314759816e+02
3.090004619010023657e+00,4.893136174392496152e-01,1.937037599088126001e+02
3.085427316152315580e+00,5.001668187551793210e-01,1.789346272174813635e+02
3.079212730228620298e+00,5.098023545932216516e-01,1.633305586947543873e+02
3.074563783704322262e+00,5.225294244279800049e-01,1.507714667442590439e+02
3.063222765742085407e+00,5.310709336429703109e-01,1.369411387155858790e+02
3.052358655108328378e+00,5.737608812957890603e-01,1.252408575713644154e+02
3.039287767049660971e+00,6.290037414414030303e-01,1.122760782969049842e+02
3.100815198847934884e+00,5.231453686323687263e-02,3.355839724748532262e+03
3.102040086090485982e+00,5.551338780441666954e-02,3.006110785974003193e+03
3.103139416711490739e+00,5.912497655285283565e-02,2.651056038095457552e+03
3.104652798761429633e+00,6.308927653078240383e-02,2.308525615678757276e+03
3.107040595084756163e+00,6.707403116809095012e-02,1.985031765681252637e+03
3.109772699218879666e+00,7.145009394820280024e-02,1.653338521650983694e+03
3.113891565820289919e+00,7.439858466578433416e-02,1.329304143464754816e+03
3.117027911349551150e+00,1.608040343239493242e-01,5.711326252490314346e+02
3.115247958882694235e+00,3.918359542426804731e-01,3.038923618321555864e+02
3.116265490018502060e+00,4.380331727142740550e-01,2.677948179025231070e+02
3.115081404490100070e+00,4.538339906320171258e-01,2.519220244821806602e+02
3.114082869043951707e+00,4.598705817098097115e-01,2.301276947012825644e+02
3.112413415296237051e+00,4.664209670743262315e-01,2.136852289947391625e+02
3.111561870036370081e+00,4.728018807018781189e-01,1.963478188061240814e+02
3.107848508622050865e+00,4.837002560111570704e-01,1.844037915108097820e+02
3.103558436895441197e+00,4.949178379300912534e-01,1.715298856447149376e+02
3.098590745948613279e+00,5.071783763590931304e-01,1.570149304537120543e+02
3.090202800980950126e+00,5.256097939566178878e-01,1.451842887153727020e+02
3.081926420978444714e+00,5.565860543307500352e-01,1.303302512308949588e+02
3.115247985869162850e+00,5.410069471452107204e-02,3.143945069453548967e+03
3.116519760072898659e+00,5.751532302088543241e-02,2.784611224568654052e+03
3.118514399170398299e+00,6.142860896504050844e-02,2.466590864102597152e+03
3.120681469615721682e+00,6.554639240728449279e-02,2.138537432877094943e+03
3.123154597004755839e+00,6.980560485586413677e-02,1.808027436831477871e+03
3.126608704409052919e+00,7.386552921541519878e-02,1.485438198062052379e+03
3.131939221217229452e+00,9.027474707596210013e-02,9.399769981036885156e+02
3.130734876097688080e+00,2.861507958704793686e-01,3.655225947136717082e+02
3.132608264189187253e+00,4.194131214896402171e-01,2.736454561479793028e+02
3.131868525482035093e+00,4.421463392783683277e-01,2.550273441448443918e+02
3.384046644070077381e+00,2.917799895593541359e-01,6.866492307364418366e+02
3.131559772657589669e+00,4.568245578102685389e-01,2.205246095832084734e+02
3.130506118954228700e+00,4.652774256577864032e-01,2.064720111163476872e+02
3.128087570796013850e+00,4.731254037068851614e-01,1.910474678391463215e+02
3.123575767282739779e+00,4.835337830608081311e-01,1.772012715261834330e+02
3.120912759983405671e+00,4.948794389965910367e-01,1.632442739638413229e+02
3.115304301885628568e+00,5.058094744503216500e-01,1.502357729715864707e+02
3.129718019795773465e+00,5.597719339570048080e-02,2.929123747407072642e+03
3.131999581994527215e+00,5.982309777268571965e-02,2.607337320617763453e+03
3.134222631134417902e+00,6.394177428324498980e-02,2.279650616812098178e+03
3.136704508675751235e+00,6.810173244943161508e-02,1.954867158225748426e+03
3.139925171420042904e+00,7.251782979381996008e-02,1.625056128458172907e+03
3.144880069054849070e+00,7.477283209924374952e-02,1.275394145089528820e+03
3.148400899701162103e+00,1.671680848295268307e-01,5.399959682618683701e+02
3.148114319227746538e+00,3.822294308776909566e-01,2.951215603192099479e+02
3.148581411309145039e+00,4.306010026509304867e-01,2.634169239662264772e+02
3.149664194451591737e+00,4.404576111858195531e-01,2.419755084956860571e+02
3.149647979439103018e+00,4.473145360207899657e-01,2.247836088731206985e+02
3.149156514654667394e+00,4.557271931043093693e-01,2.126012186270629911e+02
3.148269179390643213e+00,4.630024556058352503e-01,1.967693737316675708e+02
3.146419090415053077e+00,4.696503919983578967e-01,1.813580402156565015e+02
3.143566253345898787e+00,4.813981601183711656e-01,1.682345246260352667e+02
3.145652356680506578e+00,5.824929805688171952e-02,2.750075021725047463e+03
3.147865463823469323e+00,6.217640695247558108e-02,2.418008108458783681e+03
3.150361661168378458e+00,6.644664687721382745e-02,2.070807675173386542e+03
3.153377963499683911e+00,7.080349027730060973e-02,1.732089951615174414e+03
3.157630566452247933e+00,7.448811916394861010e-02,1.452176526979261780e+03
3.163425720102607031e+00,9.222282168824505466e-02,9.059289111892164783e+02
3.163926462826311070e+00,2.724419926247902413e-01,3.627829689968862681e+02
3.165668990666608451e+00,4.111235585125276315e-01,2.711103375605669612e+02
3.166742896003174490e+00,4.310751460577723626e-01,2.485893536727110700e+02
3.167826930487217751e+00,4.360123827802584451e-01,2.286128263626340811e+02
3.167483706857764147e+00,4.445140850422769629e-01,2.126598107775828908e+02
3.167437448234208919e+00,4.494768283103776074e-01,1.964623705476008695e+02
3.167179315337627532e+00,4.574530323511603602e-01,1.837896420029513536e+02
3.163730485432330486e+00,6.464307760286222559e-02,2.238252519478384784e+03
3.166917566310231358e+00,6.905995468339311272e-02,1.908119348671650641e+03
3.170612312758543272e+00,7.340104466254580851e-02,1.588228702051149412e+03
3.175986493915929465e+00,7.583889199919061075e-02,1.247492593406338983e+03
3.180781122288890206e+00,1.497130106514521219e-01,5.617097862819284728e+02
3.180642606395180483e+00,3.560255061873472959e-01,2.928659080621741282e+02
3.182784720351575558e+00,4.186131183110294862e-01,2.528244546004222570e+02
3.184810010172847594e+00,4.272405188385183794e-01,2.347801293604504167e+02
3.185838998100935182e+00,4.350737753262101104e-01,2.198240013479575339e+02
3.195603052109824205e+00,8.890612350963233990e-02,9.333854449613769475e+02
