Co, Fe, Zr, is_glass
60.504,15.707,23.789,0.500
60.390,14.826,24.784,1.000
60.199,13.996,25.805,1.000
59.934,13.212,26.854,1.000
59.597,12.476,27.927,1.000
59.191,11.782,29.028,1.000
58.717,11.130,30.153,1.000
58.180,10.517,31.304,1.000
55.090,33.610,11.300,0.000
56.183,31.918,11.899,0.500
57.202,30.279,12.519,0.500
58.141,28.700,13.159,0.500
59.000,27.180,13.820,0.500
59.773,25.725,14.502,0.500
60.462,24.333,15.205,0.500
61.066,23.003,15.931,0.500
61.583,21.739,16.678,0.500
62.014,20.536,17.450,0.500
62.360,19.397,18.243,0.500
62.621,18.319,19.060,0.500
62.799,17.299,19.902,0.500
62.896,16.336,20.768,0.500
62.913,15.427,21.661,0.500
62.851,14.571,22.577,0.500
62.714,13.766,23.521,0.500
62.502,13.006,24.492,1.000
62.219,12.293,25.489,1.000
61.865,11.620,26.515,1.000
61.445,10.989,27.566,1.000
60.959,10.396,28.645,1.000
56.861,32.837,10.302,0.000
57.985,31.177,10.838,0.500
59.037,29.570,11.393,0.500
60.010,28.024,11.966,0.500
60.904,26.536,12.560,0.500
61.714,25.114,13.172,0.500
62.441,23.754,13.804,0.500
63.085,22.457,14.458,0.500
63.643,21.225,15.132,0.500
64.117,20.054,15.829,0.500
64.507,18.946,16.547,0.500
64.814,17.899,17.288,0.500
65.039,16.907,18.053,0.500
65.184,15.974,18.842,0.500
65.251,15.092,19.657,0.500
65.240,14.264,20.496,0.500
65.154,13.484,21.362,0.500
64.995,12.750,22.256,0.500
64.764,12.060,23.175,0.500
64.464,11.411,24.124,1.000
64.098,10.802,25.100,1.000
63.666,10.229,26.105,1.000
58.621,32.004,9.375,0.000
59.770,30.377,9.852,0.000
60.849,28.803,10.348,0.500
61.850,27.290,10.860,0.500
62.774,25.836,11.390,0.500
63.616,24.446,11.937,0.500
64.376,23.120,12.503,0.500
65.054,21.856,13.090,0.500
65.648,20.657,13.695,0.500
66.161,19.518,14.321,0.500
66.590,18.443,14.967,0.500
66.938,17.426,15.636,0.500
67.206,16.466,16.328,0.500
67.396,15.562,17.042,0.500
67.509,14.709,17.782,0.500
67.546,13.909,18.546,0.500
67.509,13.156,19.335,0.500
67.400,12.448,20.152,0.500
67.222,11.783,20.995,0.500
66.974,11.158,21.868,0.500
66.661,10.572,22.767,0.500
66.283,10.021,23.696,1.000
59.128,32.767,8.106,0.000
60.365,31.120,8.515,0.000
61.535,29.526,8.939,0.000
62.636,27.985,9.380,0.000
63.660,26.505,9.835,0.500
64.608,25.085,10.307,0.500
65.476,23.730,10.794,0.500
66.263,22.438,11.299,0.500
66.970,21.207,11.822,0.500
67.595,20.042,12.363,0.500
68.140,18.937,12.923,0.500
68.604,17.893,13.503,0.500
68.989,16.909,14.102,0.500
69.296,15.980,14.725,0.500
69.525,15.106,15.368,0.500
69.680,14.283,16.036,0.500
69.762,13.511,16.727,0.500
69.771,12.786,17.443,0.500
69.710,12.104,18.186,0.500
69.581,11.465,18.954,0.500
69.385,10.865,19.751,0.500
69.123,10.302,20.574,0.500
68.799,9.774,21.427,0.500
62.088,30.191,7.720,0.000
63.274,28.630,8.096,0.000
64.391,27.123,8.486,0.000
65.433,25.677,8.889,0.000
66.401,24.292,9.308,0.500
67.289,22.971,9.740,0.500
68.098,21.714,10.188,0.500
68.829,20.518,10.653,0.500
69.479,19.387,11.134,0.500
70.051,18.315,11.633,0.500
70.544,17.305,12.150,0.500
70.960,16.353,12.686,0.500
71.301,15.456,13.243,0.500
71.567,14.613,13.820,0.500
71.760,13.820,14.420,0.500
71.881,13.077,15.042,0.500
71.933,12.380,15.687,0.500
71.916,11.725,16.358,0.500
71.834,11.112,17.054,0.500
71.686,10.537,17.777,0.500
71.475,9.998,18.527,0.500
63.787,29.225,6.988,0.000
64.983,27.697,7.319,0.000
66.112,26.224,7.663,0.000
67.167,24.814,8.019,0.000
68.148,23.463,8.389,0.000
69.051,22.178,8.771,0.500
69.877,20.956,9.167,0.500
70.626,19.795,9.579,0.500
71.296,18.699,10.005,0.500
71.891,17.661,10.448,0.500
72.408,16.685,10.907,0.500
72.850,15.766,11.384,0.500
73.219,14.900,11.880,0.500
73.516,14.089,12.395,0.500
73.743,13.326,12.931,0.500
73.900,12.613,13.488,0.500
73.990,11.944,14.067,0.500
74.014,11.316,14.670,0.500
73.974,10.729,15.296,0.500
73.871,10.179,15.949,0.500
73.708,9.665,16.627,0.500
66.659,26.736,6.605,0.000
67.794,25.297,6.908,0.000
68.856,23.922,7.221,0.000
69.846,22.607,7.547,0.000
70.759,21.358,7.883,0.000
71.596,20.171,8.233,0.500
72.358,19.046,8.596,0.500
73.043,17.985,8.972,0.500
73.655,16.982,9.363,0.500
74.191,16.040,9.769,0.500
74.655,15.154,10.192,0.500
75.048,14.321,10.632,0.500
75.370,13.540,11.089,0.500
75.626,12.808,11.566,0.500
75.814,12.124,12.062,0.500
75.938,11.483,12.579,0.500
75.999,10.883,13.119,0.500
75.998,10.322,13.680,0.500
75.937,9.797,14.266,0.500
69.435,24.348,6.216,0.000
70.500,23.009,6.491,0.000
71.493,21.730,6.777,0.000
72.411,20.517,7.072,0.000
73.254,19.367,7.379,0.000
74.025,18.277,7.698,0.000
74.719,17.252,8.029,0.500
75.342,16.284,8.374,0.500
75.893,15.376,8.732,0.500
76.373,14.523,9.104,0.500
76.785,13.722,9.493,0.500
77.129,12.974,9.898,0.500
77.408,12.272,10.320,0.500
77.623,11.616,10.760,0.500
77.777,11.004,11.220,0.500
77.870,10.431,11.700,0.500
77.903,9.896,12.200,0.500
72.094,22.081,5.825,0.000
73.087,20.839,6.075,0.000
74.004,19.662,6.333,0.000
74.849,18.549,6.602,0.000
75.622,17.496,6.882,0.000
76.322,16.506,7.172,0.000
76.952,15.573,7.474,0.500
77.512,14.699,7.789,0.500
78.003,13.880,8.116,0.500
78.430,13.112,8.459,0.500
78.791,12.394,8.815,0.500
79.089,11.723,9.188,0.500
79.327,11.096,9.577,0.500
79.505,10.512,9.983,0.500
79.626,9.965,10.409,0.500
74.623,19.940,5.437,0.000
75.537,18.801,5.662,0.000
76.379,17.724,5.897,0.000
77.150,16.708,6.141,0.000
77.851,15.754,6.395,0.000
78.484,14.857,6.660,0.000
79.048,14.017,6.935,0.500
79.547,13.231,7.222,0.500
79.983,12.495,7.522,0.500
80.356,11.808,7.835,0.500
80.670,11.167,8.163,0.500
80.926,10.569,8.506,0.500
81.125,10.012,8.864,0.500
77.841,16.899,5.259,0.000
78.608,15.920,5.472,0.000
79.305,15.002,5.694,0.000
79.936,14.140,5.924,0.000
80.501,13.334,6.165,0.500
81.003,12.581,6.416,0.500
81.445,11.877,6.678,0.500
81.826,11.221,6.952,0.500
82.152,10.609,7.240,0.500
10.340,60.195,29.466,1.000
10.601,57.897,31.502,1.000
10.837,55.584,33.579,1.000
11.045,53.261,35.694,1.000
11.225,50.945,37.830,1.000
11.375,48.644,39.981,1.000
11.495,46.365,42.141,1.000
11.584,44.123,44.293,1.000
11.643,41.922,46.436,1.000
10.239,65.766,23.996,0.500
10.579,63.589,25.832,0.500
10.898,61.369,27.733,1.000
11.195,59.111,29.694,1.000
11.465,56.832,31.702,1.000
11.708,54.537,33.755,1.000
11.921,52.242,35.836,1.000
12.104,49.956,37.941,1.000
12.254,47.683,40.062,1.000
12.372,45.443,42.186,1.000
12.457,43.235,44.309,1.000
12.508,41.075,46.417,1.000
12.528,38.966,48.506,1.000
10.355,68.828,20.817,0.500
10.748,66.753,22.499,0.500
11.124,64.626,24.250,0.500
11.480,62.451,26.069,0.500
11.814,60.234,27.952,1.000
12.121,57.992,29.887,1.000
12.401,55.728,31.871,1.000
12.650,53.459,33.891,1.000
12.867,51.192,35.941,1.000
13.051,48.933,38.017,1.000
13.200,46.698,40.102,1.000
13.314,44.491,42.195,1.000
13.393,42.325,44.283,1.000
13.436,40.204,46.359,1.000
13.445,38.132,48.423,1.000
10.409,71.626,17.965,0.500
10.850,69.669,19.481,0.500
11.280,67.645,21.075,0.500
11.693,65.566,22.741,0.500
12.087,63.437,24.476,0.500
12.459,61.263,26.278,1.000
12.805,59.060,28.135,1.000
13.124,56.830,30.047,1.000
13.411,54.590,31.999,1.000
13.665,52.346,33.988,1.000
13.886,50.105,36.010,1.000
14.069,47.883,38.048,1.000
14.216,45.681,40.103,1.000
14.325,43.516,42.159,1.000
14.396,41.390,44.214,1.000
14.429,39.308,46.263,1.000
14.425,37.281,48.294,1.000
10.406,74.163,15.431,0.500
10.891,72.324,16.786,0.500
11.367,70.417,18.216,0.500
11.834,68.441,19.724,0.500
12.286,66.410,21.304,0.500
12.719,64.326,22.954,0.500
13.132,62.195,24.673,0.500
13.519,60.031,26.450,1.000
13.879,57.837,28.284,1.000
14.206,55.629,30.165,1.000
14.501,53.412,32.087,1.000
14.760,51.193,34.047,1.000
14.981,48.988,36.031,1.000
15.163,46.798,38.038,1.000
15.305,44.640,40.055,1.000
15.407,42.515,42.077,1.000
15.469,40.429,44.102,1.000
15.490,38.395,46.115,1.000
15.471,36.409,48.119,1.000
10.353,76.440,13.206,0.000
10.875,74.724,14.401,0.000
11.394,72.931,15.674,0.500
11.908,71.071,17.021,0.500
12.413,69.142,18.445,0.500
12.905,67.156,19.939,0.500
13.379,65.117,21.504,0.500
13.834,63.028,23.138,0.500
14.263,60.904,24.833,0.500
14.666,58.747,26.587,1.000
15.036,56.572,28.391,1.000
15.373,54.385,30.242,1.000
15.674,52.192,32.134,1.000
15.935,50.008,34.057,1.000
16.156,47.835,36.009,1.000
16.335,45.688,37.977,1.000
16.471,43.571,39.958,1.000
16.565,41.487,41.948,1.000
16.615,39.451,43.935,1.000
16.622,37.459,45.919,1.000
16.586,35.525,47.889,1.000
10.811,76.874,12.315,0.000
11.366,75.200,13.434,0.000
11.922,73.450,14.628,0.500
12.474,71.633,15.893,0.500
13.019,69.747,17.234,0.500
13.551,67.804,18.644,0.500
14.068,65.808,20.124,0.500
14.566,63.760,21.674,0.500
15.040,61.676,23.284,0.500
15.487,59.556,24.957,1.000
15.903,57.416,26.681,1.000
16.284,55.261,28.455,1.000
16.629,53.096,30.276,1.000
16.933,50.936,32.131,1.000
17.196,48.783,34.021,1.000
17.415,46.653,35.933,1.000
17.589,44.548,37.863,1.000
17.718,42.473,39.809,1.000
17.800,40.441,41.759,1.000
17.837,38.450,43.714,1.000
17.828,36.512,45.660,1.000
10.707,78.790,10.503,0.000
11.292,77.228,11.480,0.000
11.882,75.591,12.526,0.000
12.476,73.880,13.645,0.000
13.066,72.102,14.832,0.500
13.652,70.257,16.091,0.500
14.226,68.355,17.419,0.500
14.787,66.398,18.815,0.500
15.330,64.390,20.280,0.500
15.850,62.345,21.806,0.500
16.343,60.262,23.395,0.500
16.806,58.157,25.037,1.000
17.234,56.034,26.732,1.000
17.625,53.899,28.476,1.000
17.975,51.767,30.258,1.000
18.283,49.638,32.080,1.000
18.544,47.527,33.928,1.000
18.760,45.440,35.801,1.000
18.927,43.378,37.695,1.000
19.046,41.355,39.599,1.000
19.116,39.370,41.514,1.000
19.138,37.435,43.427,1.000
19.112,35.550,45.338,1.000
11.179,79.033,9.788,0.000
11.798,77.502,10.700,0.000
12.424,75.899,11.676,0.000
13.056,74.223,12.721,0.000
13.686,72.481,13.833,0.500
14.314,70.673,15.014,0.500
14.932,68.808,16.260,0.500
15.537,66.889,17.574,0.500
16.127,64.918,18.955,0.500
16.694,62.909,20.397,0.500
17.236,60.862,21.902,0.500
17.747,58.792,23.461,0.500
18.224,56.703,25.074,1.000
18.664,54.599,26.738,1.000
19.062,52.495,28.443,1.000
19.417,50.392,30.191,1.000
19.724,48.305,31.970,1.000
19.984,46.238,33.778,1.000
20.194,44.193,35.613,1.000
20.353,42.185,37.463,1.000
20.460,40.211,39.329,1.000
20.516,38.284,41.200,1.000
20.521,36.405,43.074,1.000
11.676,79.202,9.121,0.000
12.330,77.700,9.970,0.000
12.994,76.126,10.880,0.000
13.664,74.480,11.856,0.000
14.336,72.770,12.894,0.000
15.006,70.995,13.999,0.500
15.669,69.163,15.168,0.500
16.321,67.278,16.401,0.500
16.958,65.343,17.699,0.500
17.574,63.368,19.058,0.500
18.165,61.356,20.479,0.500
18.727,59.319,21.954,0.500
19.254,57.263,23.483,0.500
19.745,55.190,25.065,1.000
20.193,53.116,26.691,1.000
20.598,51.041,28.361,1.000
20.954,48.980,30.066,1.000
21.261,46.936,31.803,1.000
21.516,44.912,33.571,1.000
21.718,42.922,35.359,1.000
21.867,40.964,37.169,1.000
21.961,39.050,38.989,1.000
22.001,37.182,40.817,1.000
12.201,79.300,8.499,0.000
12.891,77.821,9.288,0.000
13.592,76.272,10.136,0.000
14.303,74.652,11.045,0.000
15.017,72.970,12.013,0.000
15.731,71.224,13.045,0.500
16.440,69.423,14.138,0.500
17.139,67.569,15.293,0.500
17.825,65.664,16.511,0.500
18.490,63.722,17.787,0.500
19.133,61.742,19.124,0.500
19.746,59.738,20.516,0.500
20.326,57.713,21.961,0.500
20.870,55.671,23.459,0.500
21.370,53.627,25.003,1.000
21.827,51.581,26.592,1.000
22.234,49.547,28.219,1.000
22.591,47.529,29.881,1.000
22.894,45.529,31.577,1.000
23.143,43.560,33.297,1.000
23.336,41.622,35.042,1.000
23.472,39.726,36.803,1.000
23.551,37.872,38.577,1.000
12.754,79.328,7.918,0.000
13.481,77.868,8.651,0.000
14.222,76.339,9.439,0.000
14.973,74.742,10.285,0.000
15.730,73.083,11.187,0.000
16.489,71.361,12.149,0.000
17.245,69.586,13.169,0.500
17.992,67.760,14.248,0.500
18.728,65.884,15.388,0.500
19.445,63.971,16.584,0.500
20.140,62.020,17.839,0.500
20.807,60.046,19.147,0.500
21.440,58.051,20.508,0.500
22.038,56.040,21.923,0.500
22.593,54.025,23.382,1.000
23.103,52.009,24.889,1.000
23.563,50.003,26.434,1.000
23.972,48.011,28.016,1.000
24.327,46.038,29.636,1.000
24.625,44.093,31.282,1.000
24.865,42.178,32.957,1.000
25.046,40.302,34.652,1.000
25.168,38.467,36.365,1.000
13.338,79.287,7.376,0.000
14.102,77.842,8.056,0.000
14.883,76.329,8.788,0.000
15.677,74.749,9.574,0.000
16.477,73.110,10.413,0.000
17.283,71.409,11.308,0.000
18.086,69.656,12.258,0.000
18.883,67.853,13.265,0.500
19.670,66.002,14.329,0.500
20.439,64.114,15.447,0.500
21.188,62.191,16.622,0.500
21.908,60.244,17.848,0.500
22.597,58.278,19.126,0.500
23.249,56.295,20.456,0.500
23.860,54.309,21.831,0.500
24.426,52.321,23.253,1.000
24.941,50.344,24.715,1.000
25.404,48.380,26.216,1.000
25.812,46.433,27.754,1.000
26.162,44.515,29.323,1.000
26.453,42.625,30.923,1.000
26.682,40.773,32.545,1.000
26.850,38.960,34.190,1.000
13.952,79.178,6.870,0.000
14.756,77.744,7.501,0.000
15.577,76.243,8.180,0.000
16.414,74.677,8.909,0.000
17.260,73.052,9.688,0.000
18.112,71.368,10.520,0.000
18.964,69.632,11.404,0.000
19.811,67.849,12.340,0.500
20.650,66.019,13.331,0.500
21.472,64.154,14.374,0.500
22.275,62.254,15.471,0.500
23.051,60.332,16.617,0.500
23.795,58.392,17.813,0.500
24.505,56.436,19.059,0.500
25.172,54.478,20.351,0.500
25.794,52.517,21.688,0.500
26.366,50.568,23.066,1.000
26.885,48.633,24.482,1.000
27.348,46.714,25.938,1.000
27.752,44.823,27.425,1.000
28.096,42.959,28.946,1.000
28.376,41.133,30.491,1.000
28.593,39.345,32.062,1.000
14.599,79.003,6.398,0.000
15.442,77.575,6.982,0.000
16.306,76.083,7.611,0.000
17.187,74.525,8.288,0.000
18.079,72.911,9.010,0.000
18.979,71.239,9.782,0.000
19.880,69.517,10.602,0.000
20.778,67.749,11.472,0.000
21.670,65.937,12.394,0.500
22.546,64.091,13.364,0.500
23.404,62.211,14.385,0.500
24.235,60.312,15.453,0.500
25.036,58.394,16.569,0.500
25.803,56.463,17.734,0.500
26.528,54.530,18.942,0.500
27.208,52.597,20.195,0.500
27.837,50.675,21.488,0.500
28.413,48.767,22.820,1.000
28.933,46.876,24.191,1.000
29.393,45.013,25.595,1.000
29.790,43.177,27.033,1.000
30.124,41.378,28.498,1.000
30.392,39.618,29.990,1.000
15.279,78.763,5.957,0.000
16.164,77.338,6.498,0.000
17.071,75.848,7.081,0.000
17.997,74.296,7.707,0.000
18.936,72.688,8.376,0.000
19.885,71.024,9.091,0.000
20.836,69.313,9.851,0.000
21.786,67.556,10.658,0.000
22.730,65.757,11.513,0.500
23.661,63.926,12.413,0.500
24.574,62.064,13.362,0.500
25.462,60.183,14.355,0.500
26.320,58.287,15.393,0.500
27.144,56.378,16.478,0.500
27.927,54.469,17.605,0.500
28.665,52.560,18.775,0.500
29.353,50.664,19.983,0.500
29.987,48.782,21.230,0.500
30.565,46.919,22.516,1.000
31.081,45.084,23.835,1.000
31.535,43.276,25.189,1.000
31.923,41.506,26.571,1.000
32.245,39.774,27.981,1.000
16.922,77.032,6.047,0.000
17.872,75.542,6.585,0.000
18.845,73.991,7.164,0.000
19.831,72.386,7.783,0.000
20.829,70.725,8.445,0.000
21.832,69.020,9.149,0.000
22.834,67.271,9.895,0.000
23.832,65.482,10.687,0.000
24.817,63.663,11.520,0.500
25.786,61.815,12.399,0.500
26.730,59.950,13.320,0.500
27.645,58.071,14.284,0.500
28.527,56.181,15.291,0.500
29.368,54.294,16.338,0.500
30.165,52.408,17.427,0.500
30.911,50.536,18.553,0.500
31.604,48.681,19.716,0.500
32.239,46.844,20.917,0.500
32.813,45.037,22.150,1.000
33.324,43.257,23.419,1.000
33.768,41.516,24.716,1.000
17.716,76.659,5.625,0.000
18.712,75.165,6.123,0.000
19.731,73.611,6.658,0.000
20.766,72.004,7.230,0.000
21.814,70.344,7.841,0.000
22.868,68.641,8.491,0.000
23.922,66.897,9.181,0.000
24.974,65.113,9.913,0.000
26.013,63.303,10.683,0.500
27.038,61.466,11.496,0.500
28.039,59.613,12.348,0.500
29.011,57.749,13.240,0.500
29.951,55.877,14.172,0.500
30.849,54.008,15.142,0.500
31.705,52.143,16.152,0.500
32.509,50.294,17.197,0.500
33.260,48.463,18.277,0.500
33.954,46.652,19.394,0.500
34.586,44.871,20.543,0.500
35.154,43.120,21.726,1.000
35.655,41.407,22.938,1.000
19.589,74.719,5.691,0.000
20.657,73.158,6.186,0.000
21.740,71.546,6.713,0.000
22.839,69.883,7.278,0.000
23.944,68.178,7.877,0.000
25.051,66.435,8.514,0.000
26.157,64.655,9.189,0.000
27.251,62.849,9.900,0.500
28.331,61.020,10.650,0.500
29.387,59.177,11.436,0.500
30.416,57.325,12.259,0.500
31.413,55.467,13.120,0.500
32.369,53.615,14.016,0.500
33.282,51.769,14.949,0.500
34.144,49.940,15.915,0.500
34.953,48.132,16.915,0.500
35.705,46.345,17.950,0.500
36.394,44.590,19.016,0.500
37.020,42.866,20.114,0.500
21.622,72.633,5.745,0.000
22.755,71.013,6.231,0.000
23.905,69.343,6.752,0.000
25.062,67.634,7.304,0.000
26.221,65.888,7.890,0.000
27.380,64.108,8.512,0.000
28.528,62.305,9.167,0.000
29.663,60.480,9.857,0.500
30.775,58.645,10.581,0.500
31.859,56.802,11.339,0.500
32.912,54.956,12.132,0.500
33.925,53.119,12.957,0.500
34.895,51.289,13.816,0.500
35.814,49.479,14.707,0.500
36.679,47.692,15.629,0.500
37.488,45.927,16.584,0.500
38.234,44.197,17.568,0.500
23.811,70.408,5.782,0.000
25.011,68.728,6.261,0.000
26.219,67.011,6.769,0.000
27.431,65.260,7.309,0.000
28.643,63.477,7.880,0.000
29.844,61.674,8.482,0.000
31.033,59.851,9.117,0.500
32.199,58.020,9.781,0.500
33.338,56.185,10.477,0.500
34.446,54.349,11.205,0.500
35.513,52.523,11.963,0.500
36.539,50.708,12.753,0.500
37.513,48.916,13.571,0.500
38.435,47.147,14.418,0.500
39.299,45.404,15.297,0.500
26.157,68.040,5.803,0.000
27.416,66.313,6.271,0.000
28.680,64.554,6.766,0.000
29.943,62.766,7.291,0.000
31.197,60.960,7.843,0.000
32.438,59.137,8.425,0.000
33.657,57.308,9.035,0.500
34.849,55.479,9.672,0.500
36.011,53.650,10.339,0.500
37.132,51.835,11.033,0.500
38.211,50.033,11.756,0.500
39.240,48.255,12.506,0.500
40.215,46.504,13.282,0.500
29.965,63.773,6.261,0.000
31.280,61.978,6.742,0.000
32.584,60.167,7.248,0.000
33.877,58.342,7.781,0.000
35.146,56.515,8.339,0.000
36.390,54.689,8.922,0.500
37.603,52.866,9.531,0.500
38.776,51.059,10.165,0.500
39.907,49.268,10.825,0.500
