Co, Ti, Zr, is_glass
20.813,41.379,37.808,0.500
23.310,44.434,32.256,0.500
23.223,43.254,33.523,0.500
23.125,42.097,34.778,0.500
23.018,40.967,36.015,0.500
22.906,39.865,37.229,0.500
22.792,38.796,38.412,0.500
22.681,37.763,39.556,0.500
22.577,36.770,40.653,0.500
22.484,35.821,41.695,0.500
25.764,45.199,29.037,0.500
25.706,43.995,30.299,0.500
25.626,42.811,31.564,0.500
25.526,41.646,32.828,0.500
25.411,40.504,34.086,0.500
25.283,39.385,35.332,0.500
25.146,38.291,36.563,0.500
25.003,37.226,37.770,0.500
24.859,36.193,38.948,0.500
24.716,35.194,40.091,0.500
24.578,34.232,41.190,0.500
24.450,33.311,42.239,0.500
24.336,32.433,43.231,0.500
28.299,44.628,27.074,0.500
28.260,43.433,28.307,0.500
28.193,42.256,29.552,0.500
28.100,41.096,30.803,0.500
27.985,39.956,32.059,0.500
27.850,38.836,33.314,0.500
27.699,37.738,34.564,0.500
27.534,36.662,35.804,0.500
27.360,35.612,37.028,0.500
27.178,34.589,38.233,0.500
26.994,33.595,39.411,0.500
26.809,32.633,40.558,0.500
26.627,31.705,41.668,0.500
26.452,30.812,42.735,0.500
26.287,29.958,43.755,0.500
30.976,43.906,25.118,0.500
30.962,42.729,26.309,0.500
30.915,41.569,27.516,0.500
30.836,40.426,28.738,0.500
30.729,39.300,29.971,0.500
30.595,38.192,31.212,0.500
30.439,37.103,32.458,0.500
30.262,36.034,33.705,0.500
30.068,34.985,34.947,0.500
29.859,33.959,36.183,0.500
29.639,32.956,37.406,0.500
29.410,31.978,38.612,0.500
29.175,31.028,39.797,0.500
28.938,30.106,40.956,0.500
28.700,29.213,42.086,0.500
28.465,28.352,43.183,0.500
28.234,27.522,44.244,0.500
33.786,43.024,23.191,1.000
33.802,41.872,24.327,1.000
33.779,40.737,25.484,1.000
33.720,39.618,26.661,1.000
33.628,38.517,27.855,1.000
33.504,37.432,29.065,0.500
33.350,36.364,30.286,0.500
33.170,35.313,31.517,0.500
32.966,34.281,32.753,0.500
32.740,33.267,33.993,0.500
32.496,32.273,35.231,0.500
32.235,31.300,36.465,0.500
31.961,30.349,37.690,0.500
31.675,29.421,38.904,0.500
31.381,28.517,40.103,0.500
31.080,27.637,41.283,0.500
30.775,26.783,42.443,0.500
30.466,25.954,43.580,0.500
30.155,25.151,44.694,0.500
36.715,41.974,21.311,1.000
36.763,40.854,22.383,1.000
36.770,39.751,23.479,1.000
36.737,38.664,24.599,1.000
36.665,37.594,25.741,1.000
36.557,36.540,26.903,1.000
36.414,35.503,28.083,1.000
36.239,34.481,29.280,1.000
36.034,33.476,30.490,1.000
35.801,32.488,31.711,1.000
35.544,31.516,32.940,1.000
35.262,30.563,34.175,1.000
34.960,29.628,35.412,0.500
34.640,28.712,36.648,0.500
34.303,27.816,37.881,0.500
33.952,26.939,39.109,0.500
33.588,26.084,40.328,0.500
33.213,25.249,41.538,0.500
32.828,24.435,42.737,0.500
32.433,23.642,43.925,0.500
32.028,22.868,45.103,0.500
39.831,39.675,20.494,1.000
39.870,38.609,21.521,1.000
39.866,37.559,22.575,1.000
39.819,36.527,23.654,1.000
39.732,35.511,24.757,1.000
39.607,34.511,25.882,1.000
39.445,33.526,27.029,1.000
39.247,32.557,28.195,1.000
39.017,31.604,29.379,1.000
38.756,30.666,30.579,1.000
38.465,29.743,31.792,1.000
38.147,28.837,33.016,1.000
37.804,27.947,34.249,1.000
37.438,27.073,35.488,1.000
37.051,26.217,36.732,1.000
36.644,25.377,37.979,1.000
36.218,24.555,39.226,1.000
35.776,23.750,40.474,1.000
35.317,22.963,41.721,0.500
34.841,22.192,42.967,0.500
34.349,21.437,44.214,0.500
42.987,38.339,18.674,1.000
43.058,37.314,19.628,1.000
43.085,36.307,20.609,1.000
43.067,35.317,21.616,1.000
43.006,34.343,22.651,1.000
42.903,33.386,23.711,1.000
42.759,32.444,24.797,1.000
42.577,31.517,25.906,1.000
42.357,30.605,27.037,1.000
42.101,29.708,28.191,1.000
41.811,28.825,29.363,1.000
41.489,27.957,30.554,1.000
41.136,27.103,31.761,1.000
40.754,26.264,32.983,1.000
40.344,25.439,34.218,1.000
39.908,24.629,35.464,1.000
39.447,23.833,36.720,1.000
38.963,23.052,37.985,1.000
38.456,22.286,39.258,1.000
37.926,21.534,40.540,1.000
37.374,20.795,41.831,1.000
36.800,20.069,43.131,1.000
36.202,19.355,44.444,1.000
46.312,35.876,17.812,1.000
46.370,34.914,18.716,1.000
46.382,33.969,19.648,1.000
46.349,33.042,20.608,1.000
46.273,32.131,21.596,1.000
46.153,31.236,22.611,1.000
45.991,30.357,23.652,1.000
45.789,29.491,24.720,1.000
45.547,28.640,25.813,1.000
45.266,27.803,26.931,1.000
44.949,26.979,28.071,1.000
44.597,26.169,29.234,1.000
44.210,25.372,30.418,1.000
43.791,24.587,31.622,1.000
43.340,23.816,32.844,1.000
42.859,23.057,34.084,1.000
42.348,22.311,35.341,1.000
41.809,21.577,36.614,1.000
41.242,20.856,37.902,1.000
40.648,20.146,39.207,1.000
40.025,19.447,40.528,1.000
39.375,18.758,41.867,1.000
38.695,18.079,43.226,1.000
49.695,33.394,16.911,1.000
49.738,32.497,17.765,1.000
49.734,31.619,18.647,1.000
49.686,30.757,19.557,1.000
49.593,29.912,20.496,1.000
49.456,29.082,21.463,1.000
49.276,28.266,22.458,1.000
49.054,27.465,23.481,1.000
48.791,26.677,24.531,1.000
48.488,25.903,25.609,1.000
48.146,25.141,26.713,1.000
47.766,24.391,27.843,1.000
47.349,23.653,28.997,1.000
46.896,22.927,30.177,1.000
46.408,22.212,31.379,1.000
45.886,21.508,32.605,1.000
45.331,20.815,33.854,1.000
44.742,20.133,35.125,1.000
44.121,19.461,36.418,1.000
43.468,18.798,37.734,1.000
42.782,18.144,39.074,1.000
42.063,17.499,40.438,1.000
41.309,16.862,41.829,1.000
53.105,30.916,15.979,1.000
53.130,30.088,16.782,1.000
53.110,29.277,17.612,1.000
53.046,28.483,18.472,1.000
52.936,27.704,19.359,1.000
52.783,26.940,20.276,1.000
52.586,26.191,21.223,1.000
52.347,25.455,22.198,1.000
52.065,24.732,23.203,1.000
51.742,24.021,24.237,1.000
51.378,23.322,25.300,1.000
50.974,22.635,26.392,1.000
50.530,21.958,27.512,1.000
50.048,21.291,28.660,1.000
49.528,20.635,29.837,1.000
48.971,19.988,31.041,1.000
48.376,19.351,32.273,1.000
47.745,18.723,33.533,1.000
47.077,18.103,34.821,1.000
46.372,17.491,36.137,1.000
45.630,16.886,37.484,1.000
44.851,16.288,38.861,1.000
44.033,15.696,40.271,1.000
56.507,28.469,15.023,1.000
56.515,27.710,15.775,1.000
56.479,26.967,16.554,1.000
56.398,26.241,17.361,1.000
56.274,25.529,18.197,1.000
56.105,24.832,19.063,1.000
55.893,24.149,19.958,1.000
55.638,23.478,20.884,1.000
55.340,22.820,21.840,1.000
55.000,22.173,22.827,1.000
54.617,21.537,23.846,1.000
54.193,20.912,24.895,1.000
53.728,20.296,25.976,1.000
53.222,19.690,27.088,1.000
52.676,19.093,28.231,1.000
52.089,18.504,29.407,1.000
51.462,17.923,30.615,1.000
50.795,17.350,31.855,1.000
50.088,16.784,33.128,1.000
49.341,16.224,34.435,1.000
48.553,15.670,35.777,1.000
47.723,15.122,37.155,1.000
46.850,14.578,38.571,1.000
59.871,26.076,14.053,0.500
59.861,25.385,14.754,0.500
59.808,24.710,15.481,0.500
59.713,24.051,16.237,0.500
59.574,23.406,17.021,0.500
59.391,22.775,17.834,0.500
59.166,22.156,18.677,1.000
58.898,21.550,19.552,1.000
58.587,20.955,20.457,1.000
58.233,20.372,21.395,1.000
57.837,19.798,22.365,1.000
57.398,19.234,23.368,1.000
56.916,18.679,24.405,1.000
56.393,18.132,25.475,1.000
55.826,17.593,26.581,1.000
55.217,17.062,27.721,1.000
54.566,16.537,28.896,1.000
53.872,16.019,30.109,1.000
53.135,15.507,31.358,1.000
52.354,15.000,32.646,1.000
51.529,14.498,33.973,1.000
50.659,14.000,35.341,1.000
49.743,13.505,36.752,1.000
63.163,23.758,13.080,0.500
63.136,23.134,13.730,0.500
63.068,22.526,14.406,0.500
62.959,21.932,15.110,0.500
62.807,21.352,15.841,0.500
62.614,20.784,16.602,0.500
62.378,20.229,17.393,0.500
62.100,19.686,18.214,0.500
61.779,19.153,19.068,0.500
61.416,18.630,19.954,1.000
61.010,18.116,20.873,1.000
60.561,17.612,21.827,1.000
60.069,17.115,22.816,1.000
59.534,16.626,23.840,1.000
58.954,16.144,24.902,1.000
58.331,15.669,26.000,1.000
57.663,15.199,27.138,1.000
56.951,14.735,28.315,1.000
56.192,14.275,29.532,1.000
55.388,13.820,30.791,1.000
54.537,13.369,32.094,1.000
53.638,12.921,33.441,1.000
52.689,12.476,34.835,1.000
66.354,21.534,12.112,0.500
66.312,20.975,12.713,0.500
66.230,20.431,13.339,0.500
66.108,19.900,13.991,0.500
65.947,19.382,14.671,0.500
65.744,18.876,15.379,0.500
65.501,18.382,16.117,0.500
65.216,17.898,16.886,0.500
64.890,17.424,17.686,0.500
64.522,16.959,18.519,0.500
64.111,16.503,19.386,0.500
63.658,16.055,20.287,0.500
63.161,15.614,21.225,1.000
62.620,15.180,22.200,1.000
62.035,14.752,23.213,1.000
61.405,14.330,24.265,1.000
60.729,13.914,25.358,1.000
60.006,13.501,26.492,1.000
59.237,13.093,27.670,1.000
58.419,12.688,28.893,1.000
57.552,12.286,30.162,1.000
56.635,11.887,31.478,1.000
55.666,11.489,32.844,1.000
69.419,19.420,11.160,0.500
69.363,18.924,11.714,0.500
69.269,18.440,12.291,0.500
69.137,17.969,12.893,0.500
68.968,17.510,13.522,0.500
68.759,17.063,14.178,0.500
68.511,16.625,14.864,0.500
68.223,16.198,15.579,0.500
67.895,15.779,16.325,0.500
67.526,15.369,17.105,0.500
67.116,14.967,17.917,0.500
66.663,14.572,18.765,0.500
66.167,14.184,19.649,0.500
65.628,13.801,20.571,0.500
65.044,13.425,21.532,0.500
64.414,13.053,22.533,0.500
63.738,12.686,23.576,1.000
63.015,12.322,24.662,1.000
62.244,11.962,25.794,1.000
61.422,11.605,26.972,1.000
60.551,11.250,28.199,1.000
59.627,10.897,29.476,1.000
58.650,10.545,30.805,1.000
72.268,16.991,10.741,0.500
72.164,16.565,11.271,0.500
72.025,16.151,11.824,0.500
71.850,15.747,12.404,0.500
71.638,15.353,13.009,0.500
71.388,14.969,13.643,0.500
71.101,14.594,14.306,0.500
70.775,14.227,14.999,0.500
70.409,13.867,15.724,0.500
70.003,13.515,16.482,0.500
69.556,13.169,17.274,0.500
69.067,12.830,18.103,0.500
68.535,12.496,18.970,0.500
67.959,12.166,19.875,0.500
67.337,11.841,20.822,0.500
66.669,11.520,21.811,0.500
65.953,11.202,22.844,0.500
65.189,10.887,23.924,0.500
64.374,10.575,25.051,1.000
63.508,10.264,26.229,1.000
62.588,9.954,27.458,1.000
75.010,15.187,9.803,0.500
74.899,14.814,10.287,0.500
74.754,14.451,10.795,0.500
74.576,14.098,11.326,0.500
74.363,13.754,11.882,0.500
74.115,13.419,12.466,0.500
73.831,13.092,13.077,0.500
73.511,12.772,13.717,0.500
73.153,12.460,14.388,0.500
72.756,12.153,15.091,0.500
72.319,11.853,15.828,0.500
71.841,11.557,16.601,0.500
71.322,11.267,17.411,0.500
70.760,10.981,18.259,0.500
70.152,10.699,19.149,0.500
69.500,10.420,20.080,0.500
68.799,10.144,21.056,0.500
68.050,9.871,22.079,0.500
67.251,9.599,23.150,0.500
66.400,9.329,24.272,0.500
65.495,9.059,25.446,0.500
77.313,12.876,9.811,0.500
77.134,12.569,10.296,0.500
76.923,12.271,10.806,0.500
76.680,11.981,11.340,0.500
76.402,11.697,11.901,0.500
76.090,11.420,12.489,0.500
75.743,11.150,13.108,0.500
75.359,10.885,13.757,0.500
74.936,10.625,14.439,0.500
74.475,10.370,15.155,0.500
73.973,10.119,15.907,0.500
73.430,9.873,16.697,0.500
72.843,9.629,17.527,0.500
72.212,9.389,18.399,0.500
71.534,9.151,19.315,0.500
70.808,8.915,20.277,0.500
70.032,8.680,21.288,0.500
69.205,8.447,22.349,0.500
79.694,11.427,8.879,0.500
79.517,11.162,9.321,0.500
79.310,10.905,9.785,0.500
79.073,10.654,10.273,0.500
78.805,10.410,10.785,0.500
78.504,10.172,11.324,0.500
78.170,9.939,11.891,0.500
77.802,9.711,12.487,0.500
77.398,9.488,13.114,0.500
76.956,9.269,13.774,0.500
76.477,9.054,14.469,0.500
75.957,8.842,15.201,0.500
75.396,8.633,15.971,0.500
74.791,8.427,16.782,0.500
74.141,8.223,17.636,0.500
73.445,8.020,18.535,0.500
72.699,7.819,19.481,0.500
81.720,9.876,8.405,0.500
81.519,9.655,8.826,0.500
81.291,9.440,9.269,0.500
81.034,9.231,9.735,0.500
80.747,9.027,10.226,0.500
80.429,8.828,10.743,0.500
80.079,8.633,11.288,0.500
79.695,8.442,11.862,0.500
79.277,8.255,12.468,0.500
78.823,8.071,13.106,0.500
78.330,7.890,13.780,0.500
77.798,7.712,14.490,0.500
77.225,7.536,15.239,0.500
76.608,7.362,16.030,0.500
75.946,7.189,16.865,0.500
83.332,8.336,8.332,0.500
83.088,8.158,8.755,0.500
82.816,7.984,9.200,0.500
82.516,7.814,9.670,0.500
82.187,7.648,10.165,0.500
81.826,7.486,10.689,0.500
81.433,7.326,11.241,0.500
81.006,7.170,11.824,0.500
80.544,7.016,12.440,0.500
80.044,6.865,13.092,0.500
79.505,6.715,13.780,0.500
84.125,6.754,9.121,0.500
83.789,6.616,9.595,0.500
83.422,6.481,10.097,0.500
83.025,6.348,10.627,0.500
4.132,68.141,27.727,0.000
4.229,72.934,22.837,0.000
4.339,71.591,24.071,0.000
4.448,70.225,25.328,0.000
4.555,68.839,26.605,0.000
4.663,67.439,27.898,0.000
4.769,66.028,29.204,0.000
4.874,64.609,30.517,0.000
4.979,63.188,31.833,0.000
5.082,61.767,33.150,0.000
4.532,75.012,20.456,0.000
4.657,73.695,21.648,0.000
4.781,72.348,22.872,0.000
4.903,70.972,24.126,0.000
5.023,69.570,25.407,0.000
5.142,68.146,26.712,0.000
5.259,66.703,28.038,0.000
5.374,65.245,29.381,0.000
5.487,63.775,30.738,0.000
5.597,62.297,32.106,0.000
5.705,60.812,33.483,0.000
5.810,59.325,34.865,0.000
5.912,57.836,36.252,0.000
4.980,75.732,19.287,0.000
5.123,74.424,20.453,0.000
5.264,73.081,21.655,0.000
5.402,71.705,22.892,0.000
5.538,70.300,24.162,0.000
5.672,68.867,25.461,0.000
5.802,67.409,26.789,0.000
5.929,65.930,28.141,0.000
6.054,64.431,29.515,0.000
6.174,62.917,30.908,0.000
6.291,61.391,32.319,0.000
6.403,59.854,33.743,0.000
6.511,58.309,35.180,0.000
6.613,56.757,36.630,0.000
6.710,55.199,38.091,0.000
5.468,76.396,18.137,0.000
5.631,75.100,19.269,0.000
5.791,73.768,20.440,0.000
5.949,72.402,21.650,0.000
6.103,71.002,22.895,0.000
6.254,69.570,24.176,0.000
6.401,68.110,25.489,0.000
6.544,66.623,26.833,0.000
6.683,65.113,28.205,0.000
6.817,63.581,29.603,0.000
6.945,62.031,31.024,0.000
7.068,60.465,32.467,0.000
7.185,58.886,33.929,0.000
7.296,57.295,35.410,0.000
7.399,55.693,36.908,0.000
7.494,54.083,38.423,0.500
7.580,52.463,39.957,0.500
5.996,76.987,17.016,0.000
6.182,75.709,18.109,0.000
6.365,74.393,19.242,0.000
6.544,73.040,20.415,0.000
6.720,71.653,21.627,0.000
6.892,70.231,22.878,0.000
7.059,68.777,24.164,0.000
7.221,67.294,25.486,0.000
7.377,65.783,26.840,0.000
7.528,64.247,28.226,0.000
7.672,62.688,29.640,0.000
7.810,61.109,31.081,0.000
7.940,59.513,32.548,0.000
8.061,57.901,34.038,0.500
8.174,56.275,35.551,0.500
8.278,54.637,37.085,0.500
8.371,52.987,38.642,0.500
8.452,51.327,40.221,0.500
8.521,49.656,41.824,0.500
6.569,77.497,15.934,0.000
6.781,76.237,16.982,0.000
6.989,74.940,18.071,0.000
7.193,73.605,19.202,0.000
7.393,72.233,20.373,0.000
7.589,70.827,21.585,0.000
7.779,69.386,22.835,0.000
7.963,67.914,24.123,0.000
8.141,66.411,25.448,0.000
8.312,64.881,26.807,0.000
8.476,63.325,28.199,0.000
8.631,61.746,29.623,0.000
8.777,60.146,31.077,0.500
8.914,58.527,32.559,0.500
9.041,56.891,34.068,0.500
9.157,55.241,35.602,0.500
9.260,53.578,37.162,0.500
9.351,51.902,38.747,0.500
9.427,50.215,40.357,0.500
9.488,48.517,41.994,0.500
9.533,46.808,43.659,0.500
7.430,76.674,15.896,0.000
7.666,75.396,16.938,0.000
7.898,74.081,18.021,0.000
8.126,72.729,19.145,0.000
8.348,71.340,20.311,0.000
8.565,69.918,21.518,0.000
8.775,68.462,22.764,0.000
8.978,66.974,24.048,0.000
9.173,65.457,25.371,0.000
9.359,63.912,26.729,0.000
9.536,62.341,28.123,0.500
9.703,60.748,29.549,0.500
9.859,59.133,31.008,0.500
10.003,57.500,32.497,0.500
10.135,55.850,34.015,0.500
10.253,54.185,35.562,0.500
10.357,52.507,37.136,0.500
10.445,50.817,38.739,0.500
10.516,49.116,40.368,0.500
10.570,47.405,42.026,0.500
10.604,45.684,43.713,0.500
8.133,77.010,14.856,0.000
8.401,75.752,15.847,0.000
8.664,74.457,16.879,0.000
8.922,73.125,17.953,0.000
9.175,71.757,19.069,0.000
9.421,70.354,20.225,0.000
9.660,68.918,21.422,0.000
9.891,67.449,22.660,0.000
10.114,65.950,23.936,0.500
10.327,64.422,25.251,0.500
10.529,62.868,26.603,0.500
10.720,61.289,27.991,0.500
10.899,59.687,29.414,0.500
11.065,58.065,30.870,0.500
11.217,56.425,32.358,0.500
11.354,54.768,33.878,0.500
11.475,53.097,35.428,0.500
11.579,51.414,37.007,0.500
11.664,49.720,38.616,0.500
11.730,48.016,40.254,0.500
11.775,46.303,41.922,0.500
11.798,44.583,43.619,0.500
11.798,42.856,45.347,0.500
9.197,75.998,14.804,0.000
9.494,74.722,15.784,0.000
9.786,73.410,16.804,0.000
10.072,72.063,17.865,0.000
10.351,70.682,18.967,0.000
10.623,69.267,20.110,0.000
10.886,67.820,21.294,0.500
11.140,66.342,22.518,0.500
11.383,64.835,23.782,0.500
11.615,63.301,25.084,0.500
11.834,61.742,26.424,0.500
12.040,60.159,27.801,0.500
12.232,58.555,29.213,0.500
12.408,56.932,30.660,0.500
12.568,55.292,32.140,0.500
12.710,53.637,33.653,0.500
12.833,51.970,35.197,0.500
12.936,50.291,36.773,0.500
13.019,48.602,38.380,0.500
13.079,46.905,40.016,0.500
13.115,45.201,41.683,0.500
13.127,43.492,43.381,0.500
13.113,41.778,45.109,0.500
10.394,74.870,14.736,0.000
10.722,73.577,15.701,0.000
11.045,72.249,16.706,0.000
11.360,70.888,17.751,0.500
11.668,69.495,18.837,0.500
11.966,68.070,19.963,0.500
12.255,66.616,21.130,0.500
12.532,65.132,22.336,0.500
12.797,63.622,23.582,0.500
13.048,62.086,24.866,0.500
13.285,60.526,26.188,0.500
13.507,58.946,27.547,0.500
13.711,57.346,28.943,0.500
13.898,55.728,30.374,0.500
14.065,54.096,31.839,0.500
14.213,52.450,33.337,0.500
14.338,50.793,34.869,0.500
14.442,49.126,36.433,0.500
14.521,47.452,38.028,0.500
14.575,45.771,39.654,0.500
14.602,44.086,41.312,0.500
14.603,42.397,43.000,0.500
14.574,40.707,44.719,0.500
11.737,73.615,14.648,0.500
12.098,72.306,15.595,0.500
12.453,70.965,16.582,0.500
12.800,69.592,17.608,0.500
13.137,68.189,18.674,0.500
13.464,66.758,19.779,0.500
13.778,65.298,20.924,0.500
14.080,63.812,22.108,0.500
14.367,62.302,23.331,0.500
14.639,60.769,24.592,0.500
14.894,59.215,25.891,0.500
15.131,57.641,27.228,0.500
15.349,56.051,28.600,0.500
15.546,54.445,30.009,0.500
15.721,52.827,31.452,0.500
15.874,51.197,32.929,0.500
16.002,49.558,34.440,0.500
16.104,47.912,35.984,0.500
16.180,46.260,37.560,0.500
16.228,44.604,39.168,0.500
16.246,42.946,40.808,0.500
16.235,41.286,42.479,0.500
16.192,39.627,44.181,0.500
13.238,72.226,14.536,0.500
13.635,70.902,15.463,0.500
14.024,69.549,16.428,0.500
