Co, V, Zr, is_glass
26.770,27.499,45.731,1.000
27.406,26.037,46.557,1.000
28.023,24.638,47.339,0.500
28.622,23.300,48.079,0.500
29.200,22.027,48.773,0.500
29.760,20.814,49.425,0.500
30.300,19.665,50.035,0.500
30.822,18.576,50.602,0.500
31.326,17.543,51.131,0.500
31.811,16.569,51.620,0.500
32.280,15.647,52.073,0.500
32.731,14.780,52.489,0.500
22.150,42.641,35.208,1.000
22.983,40.710,36.307,1.000
23.807,38.817,37.376,1.000
24.618,36.972,38.410,1.000
25.417,35.175,39.409,1.000
26.199,33.433,40.368,1.000
26.965,31.748,41.288,1.000
27.714,30.118,42.168,1.000
28.443,28.552,43.005,1.000
29.153,27.045,43.801,1.000
29.842,25.604,44.553,1.000
30.511,24.226,45.263,1.000
31.160,22.909,45.931,1.000
31.786,21.657,46.556,1.000
32.394,20.465,47.141,1.000
32.979,19.336,47.685,1.000
33.545,18.266,48.190,1.000
34.091,17.252,48.657,1.000
34.618,16.295,49.087,0.500
35.128,15.391,49.482,0.500
35.619,14.540,49.842,0.500
24.103,41.936,33.961,1.000
25.004,40.016,34.981,1.000
25.894,38.136,35.970,1.000
26.770,36.307,36.923,1.000
27.632,34.526,37.841,1.000
28.476,32.804,38.720,1.000
29.301,31.139,39.560,1.000
30.108,29.531,40.361,1.000
30.892,27.988,41.120,1.000
31.657,26.505,41.838,1.000
32.398,25.087,42.515,1.000
33.117,23.733,43.151,1.000
33.814,22.440,43.747,1.000
34.487,21.211,44.302,1.000
35.140,20.042,44.819,1.000
35.769,18.935,45.296,1.000
36.376,17.887,45.737,1.000
36.964,16.894,46.142,1.000
37.531,15.957,46.512,1.000
38.079,15.072,46.849,1.000
38.608,14.239,47.153,1.000
26.178,41.122,32.700,1.000
27.146,39.215,33.639,1.000
28.103,37.351,34.546,1.000
29.043,35.540,35.417,1.000
29.967,33.779,36.253,1.000
30.871,32.079,37.050,1.000
31.754,30.437,37.809,1.000
32.616,28.854,38.529,1.000
33.455,27.336,39.209,1.000
34.271,25.879,39.851,1.000
35.061,24.488,40.451,1.000
35.827,23.160,41.013,1.000
36.570,21.893,41.537,1.000
37.288,20.691,42.022,1.000
37.982,19.547,42.470,1.000
38.652,18.466,42.882,1.000
39.299,17.442,43.259,1.000
39.925,16.472,43.603,1.000
40.528,15.558,43.914,1.000
41.112,14.695,44.193,1.000
41.675,13.882,44.442,1.000
28.374,40.200,31.426,1.000
29.409,38.309,32.282,1.000
30.430,36.463,33.107,1.000
31.432,34.673,33.895,1.000
32.416,32.936,34.648,1.000
33.377,31.260,35.363,1.000
34.315,29.645,36.040,1.000
35.230,28.090,36.680,1.000
36.119,26.600,37.281,1.000
36.983,25.172,37.845,1.000
37.819,23.810,38.371,1.000
38.629,22.512,38.859,1.000
39.414,21.275,39.312,1.000
40.171,20.101,39.728,1.000
40.904,18.986,40.110,1.000
41.611,17.932,40.457,1.000
42.293,16.935,40.772,1.000
42.953,15.991,41.056,1.000
43.589,15.102,41.309,1.000
44.205,14.262,41.533,1.000
44.799,13.472,41.728,1.000
30.686,39.175,30.139,1.000
31.785,37.302,30.913,1.000
32.868,35.478,31.654,1.000
33.929,33.712,32.359,1.000
34.969,32.001,33.030,1.000
35.984,30.354,33.663,1.000
36.972,28.768,34.260,1.000
37.936,27.243,34.821,1.000
38.870,25.785,35.344,1.000
39.778,24.389,35.833,1.000
40.655,23.060,36.285,1.000
41.504,21.794,36.701,1.000
42.326,20.589,37.085,1.000
43.118,19.447,37.434,1.000
43.885,18.363,37.752,1.000
44.623,17.339,38.038,1.000
45.336,16.371,38.293,1.000
46.025,15.456,38.519,1.000
46.689,14.594,38.717,1.000
47.332,13.780,38.888,1.000
47.952,13.015,39.033,1.000
33.109,38.050,28.841,1.000
34.268,36.199,29.533,1.000
35.408,34.400,30.192,1.000
36.524,32.662,30.815,1.000
37.616,30.981,31.404,1.000
38.679,29.364,31.957,1.000
39.713,27.812,32.475,1.000
40.719,26.322,32.959,1.000
41.694,24.898,33.408,1.000
42.639,23.538,33.823,1.000
43.552,22.244,34.204,1.000
44.434,21.014,34.552,1.000
45.286,19.844,34.870,1.000
46.108,18.736,35.156,1.000
46.901,17.686,35.412,1.000
47.666,16.695,35.639,1.000
48.403,15.759,35.839,1.000
49.115,14.874,36.011,1.000
49.802,14.041,36.157,1.000
50.466,13.255,36.279,1.000
51.107,12.517,36.376,1.000
36.847,35.007,28.146,1.000
38.039,33.237,28.724,1.000
39.203,31.530,29.267,1.000
40.341,29.882,29.777,1.000
41.446,28.301,30.253,1.000
42.520,26.785,30.695,1.000
43.563,25.333,31.104,1.000
44.571,23.948,31.481,1.000
45.547,22.626,31.827,1.000
46.488,21.371,32.141,1.000
47.396,20.179,32.425,1.000
48.273,19.047,32.680,1.000
49.116,17.977,32.907,1.000
49.930,16.963,33.106,1.000
50.713,16.007,33.279,1.000
51.469,15.105,33.426,1.000
52.198,14.253,33.550,1.000
52.900,13.451,33.649,1.000
53.580,12.695,33.725,1.000
40.749,31.996,27.255,1.000
41.955,30.324,27.720,1.000
43.131,28.714,28.155,1.000
44.272,27.172,28.556,1.000
45.377,25.697,28.926,1.000
46.449,24.286,29.265,1.000
47.483,22.943,29.574,1.000
48.482,21.663,29.855,1.000
49.444,20.450,30.106,1.000
50.370,19.300,30.330,1.000
51.263,18.208,30.528,1.000
52.122,17.178,30.700,1.000
52.949,16.203,30.848,1.000
53.744,15.284,30.972,1.000
54.510,14.418,31.072,1.000
55.250,13.600,31.150,1.000
55.961,12.831,31.207,1.000
44.763,29.055,26.182,1.000
45.969,27.487,26.544,1.000
47.136,25.988,26.875,1.000
48.265,24.557,27.178,1.000
49.358,23.191,27.452,1.000
50.409,21.893,27.698,1.000
51.423,20.659,27.918,1.000
52.397,19.491,28.112,1.000
53.334,18.384,28.282,1.000
54.236,17.336,28.428,1.000
55.101,16.348,28.551,1.000
55.934,15.414,28.652,1.000
56.734,14.535,28.731,1.000
57.503,13.706,28.791,1.000
58.245,12.925,28.830,1.000
48.836,26.211,24.953,1.000
50.021,24.760,25.219,1.000
51.165,23.377,25.458,1.000
52.269,22.059,25.672,1.000
53.329,20.810,25.861,1.000
54.349,19.624,26.027,1.000
55.328,18.503,26.169,1.000
56.266,17.444,26.290,1.000
57.169,16.442,26.390,1.000
58.033,15.498,26.470,1.000
58.863,14.607,26.530,1.000
59.660,13.769,26.572,1.000
60.425,12.980,26.595,1.000
54.056,22.168,23.777,1.000
55.162,20.902,23.937,1.000
56.222,19.704,24.074,1.000
57.240,18.569,24.191,1.000
58.213,17.499,24.288,1.000
59.146,16.488,24.366,1.000
60.040,15.534,24.426,1.000
60.895,14.637,24.469,1.000
61.715,13.790,24.494,1.000
7.460,75.300,17.300,0.500
7.500,74.000,18.500,0.500
7.530,72.700,19.800,0.500
7.550,71.300,21.100,0.500
7.550,69.900,22.600,0.500
7.560,68.400,24.000,1.000
7.550,66.800,25.600,1.000
7.530,65.200,27.200,1.000
7.500,63.600,28.900,1.000
8.260,76.500,15.200,0.500
8.310,75.400,16.300,0.500
8.360,74.200,17.500,0.500
8.390,72.900,18.700,0.500
8.420,71.600,20.000,0.500
8.430,70.300,21.300,1.000
8.440,68.800,22.700,1.000
8.430,67.400,24.200,1.000
8.420,65.800,25.800,1.000
8.390,64.200,27.400,1.000
8.350,62.600,29.100,1.000
8.300,60.900,30.800,1.000
8.240,59.200,32.600,1.000
9.190,76.400,14.400,0.500
9.260,75.300,15.400,0.500
9.310,74.200,16.500,0.500
9.350,73.000,17.600,0.500
9.390,71.800,18.800,0.500
9.410,70.500,20.100,0.500
9.420,69.100,21.400,1.000
9.420,67.700,22.900,1.000
9.410,66.300,24.300,1.000
9.380,64.700,25.900,1.000
9.340,63.200,27.500,1.000
9.290,61.600,29.200,1.000
9.230,59.900,30.900,1.000
9.150,58.200,32.700,1.000
9.060,56.400,34.500,1.000
10.200,76.200,13.600,0.500
10.300,75.100,14.600,0.500
10.400,74.100,15.600,0.500
10.400,72.900,16.600,0.500
10.500,71.800,17.800,0.500
10.500,70.500,19.000,0.500
10.500,69.300,20.200,0.500
10.500,67.900,21.600,1.000
10.500,66.500,23.000,1.000
10.500,65.100,24.400,1.000
10.400,63.600,25.900,1.000
10.400,62.100,27.500,1.000
10.300,60.500,29.200,1.000
10.300,58.800,30.900,1.000
10.200,57.100,32.700,1.000
10.100,55.400,34.500,1.000
9.930,53.700,36.400,1.000
11.400,75.700,12.900,0.500
11.500,74.800,13.800,0.500
11.500,73.800,14.700,0.500
11.600,72.700,15.700,0.500
11.600,71.600,16.800,0.500
11.700,70.400,17.900,0.500
11.700,69.200,19.100,0.500
11.700,68.000,20.300,1.000
11.700,66.600,21.600,1.000
11.700,65.300,23.000,1.000
11.700,63.900,24.500,1.000
11.600,62.400,26.000,1.000
11.600,60.900,27.600,1.000
11.500,59.300,29.200,1.000
11.400,57.700,30.900,1.000
11.300,56.100,32.700,1.000
11.200,54.400,34.500,1.000
11.000,52.700,36.300,1.000
10.800,50.900,38.200,1.000
12.700,75.200,12.200,0.500
12.700,74.300,13.000,0.500
12.800,73.300,13.900,0.500
12.900,72.300,14.800,0.500
13.000,71.200,15.800,0.500
13.000,70.200,16.800,0.500
13.000,69.000,18.000,0.500
13.100,67.800,19.100,1.000
13.100,66.600,20.400,1.000
13.100,65.300,21.700,1.000
13.000,63.900,23.000,1.000
13.000,62.600,24.500,1.000
12.900,61.100,26.000,1.000
12.800,59.600,27.500,1.000
12.800,58.100,29.100,1.000
12.600,56.500,30.800,1.000
12.500,54.900,32.600,1.000
12.400,53.300,34.300,1.000
12.200,51.600,36.200,1.000
12.000,49.900,38.100,1.000
11.800,48.200,40.000,0.500
14.200,73.600,12.300,0.500
14.300,72.700,13.100,0.500
14.300,71.700,14.000,0.500
14.400,70.700,14.900,0.500
14.500,69.700,15.900,0.500
14.500,68.600,16.900,0.500
14.500,67.500,18.000,1.000
14.500,66.300,19.100,1.000
14.500,65.100,20.400,1.000
14.500,63.800,21.700,1.000
14.500,62.500,23.000,1.000
14.400,61.200,24.400,1.000
14.400,59.800,25.900,1.000
14.300,58.300,27.400,1.000
14.100,56.800,29.000,1.000
14.000,55.300,30.700,1.000
13.900,53.800,32.400,1.000
13.700,52.200,34.200,1.000
13.500,50.500,36.000,1.000
13.300,48.900,37.800,1.000
13.000,47.200,39.700,1.000
15.800,71.800,12.400,0.500
15.900,70.900,13.200,0.500
16.000,70.000,14.000,0.500
16.100,69.000,14.900,0.500
16.100,68.000,15.900,0.500
16.200,66.900,16.900,0.500
16.200,65.800,18.000,1.000
16.200,64.700,19.100,1.000
16.200,63.500,20.300,1.000
16.100,62.300,21.600,1.000
16.100,61.000,22.900,1.000
16.000,59.700,24.300,1.000
15.900,58.300,25.800,1.000
15.800,56.900,27.300,1.000
15.700,55.500,28.800,1.000
15.500,54.000,30.500,1.000
15.300,52.500,32.200,1.000
15.100,51.000,33.900,1.000
14.900,49.400,35.700,1.000
14.700,47.800,37.500,1.000
14.400,46.200,39.400,1.000
14.100,44.600,41.300,0.500
17.700,69.900,12.400,0.500
17.700,69.100,13.200,0.500
17.800,68.100,14.000,0.500
17.900,67.200,14.900,0.500
17.900,66.200,15.900,0.500
18.000,65.200,16.900,0.500
18.000,64.100,17.900,1.000
18.000,63.000,19.100,1.000
17.900,61.800,20.200,1.000
17.900,60.600,21.500,1.000
17.800,59.400,22.800,1.000
17.700,58.100,24.100,1.000
17.600,56.800,25.600,1.000
17.500,55.500,27.000,1.000
17.300,54.100,28.600,1.000
17.100,52.700,30.200,1.000
16.900,51.200,31.800,1.000
16.700,49.700,33.600,1.000
16.400,48.200,35.300,1.000
16.200,46.700,37.100,1.000
15.900,45.100,39.000,1.000
15.600,43.600,40.900,1.000
19.700,67.900,12.400,0.500
19.700,67.100,13.200,0.500
19.800,66.200,14.000,0.500
19.900,65.300,14.900,0.500
19.900,64.300,15.800,0.500
19.900,63.300,16.800,1.000
19.900,62.300,17.800,1.000
19.900,61.200,18.900,1.000
19.800,60.100,20.100,1.000
19.800,58.900,21.300,1.000
19.700,57.700,22.600,1.000
19.600,56.500,23.900,1.000
19.500,55.200,25.300,1.000
19.300,54.000,26.800,1.000
19.100,52.600,28.300,1.000
18.900,51.300,29.800,1.000
18.700,49.900,31.500,1.000
18.400,48.400,33.100,1.000
18.100,47.000,34.900,1.000
17.800,45.500,36.700,1.000
17.500,44.000,38.500,1.000
17.100,42.500,40.300,1.000
21.700,66.600,11.700,0.500
21.800,65.800,12.400,0.500
21.900,65.000,13.100,0.500
22.000,64.100,13.900,0.500
22.000,63.200,14.800,0.500
22.000,62.300,15.700,0.500
22.000,61.300,16.700,1.000
22.000,60.300,17.700,1.000
22.000,59.300,18.800,1.000
21.900,58.200,19.900,1.000
21.800,57.100,21.100,1.000
21.700,56.000,22.300,1.000
21.600,54.800,23.600,1.000
21.400,53.600,25.000,1.000
21.300,52.300,26.400,1.000
21.100,51.100,27.900,1.000
20.800,49.800,29.400,1.000
20.600,48.500,31.000,1.000
20.300,47.100,32.600,1.000
19.900,45.700,34.300,1.000
19.600,44.300,36.100,1.000
19.200,42.900,37.900,1.000
18.800,41.500,39.700,1.000
24.100,64.300,11.600,0.500
24.200,63.500,12.300,0.500
24.200,62.700,13.000,0.500
24.300,61.900,13.800,0.500
24.300,61.000,14.700,0.500
24.300,60.100,15.500,0.500
24.300,59.200,16.500,1.000
24.300,58.200,17.500,1.000
24.200,57.300,18.500,1.000
24.200,56.200,19.600,1.000
24.100,55.200,20.800,1.000
23.900,54.100,22.000,1.000
23.800,53.000,23.200,1.000
23.600,51.800,24.600,1.000
23.400,50.700,26.000,1.000
23.100,49.500,27.400,1.000
22.900,48.200,28.900,1.000
22.600,47.000,30.500,1.000
22.300,45.700,32.100,1.000
21.900,44.400,33.700,1.000
21.500,43.000,35.400,1.000
21.100,41.700,37.200,1.000
20.700,40.300,39.000,1.000
26.600,61.900,11.500,0.500
26.700,61.200,12.200,0.500
26.700,60.400,12.900,0.500
26.800,59.600,13.700,0.500
26.800,58.700,14.500,0.500
26.800,57.900,15.300,0.500
26.800,57.000,16.200,1.000
26.700,56.100,17.200,1.000
26.600,55.100,18.200,1.000
26.500,54.200,19.300,1.000
26.400,53.200,20.400,1.000
26.300,52.200,21.600,1.000
26.100,51.100,22.800,1.000
25.900,50.000,24.100,1.000
25.600,48.900,25.400,1.000
25.400,47.800,26.900,1.000
25.100,46.600,28.300,1.000
24.800,45.400,29.800,1.000
24.400,44.200,31.400,1.000
24.000,43.000,33.000,1.000
23.600,41.700,34.700,1.000
23.100,40.500,36.400,1.000
22.700,39.200,38.200,1.000
29.300,59.400,11.400,0.500
29.300,58.700,12.000,0.500
29.400,57.900,12.700,0.500
29.400,57.100,13.500,0.500
29.400,56.300,14.200,0.500
29.400,55.500,15.100,0.500
29.400,54.700,16.000,0.500
29.300,53.800,16.900,1.000
29.200,52.900,17.900,1.000
29.100,52.000,18.900,1.000
28.900,51.100,20.000,1.000
28.800,50.100,21.100,1.000
28.600,49.100,22.300,1.000
28.300,48.100,23.600,1.000
28.100,47.100,24.900,1.000
27.800,46.000,26.200,1.000
27.400,44.900,27.600,1.000
27.100,43.800,29.100,1.000
26.700,42.700,30.600,1.000
26.200,41.500,32.200,1.000
25.800,40.400,33.900,1.000
25.300,39.200,35.500,1.000
24.800,38.000,37.300,1.000
32.100,56.700,11.200,0.500
32.100,56.000,11.800,0.500
32.200,55.300,12.500,0.500
32.200,54.600,13.200,0.500
32.200,53.900,14.000,0.500
32.100,53.100,14.800,0.500
32.100,52.300,15.600,0.500
32.000,51.500,16.500,0.500
31.900,50.700,17.400,1.000
31.800,49.800,18.400,1.000
31.600,48.900,19.500,1.000
31.400,48.000,20.600,1.000
31.200,47.100,21.700,1.000
30.900,46.200,22.900,1.000
30.600,45.200,24.200,1.000
30.300,44.200,25.500,1.000
29.900,43.200,26.900,1.000
29.500,42.200,28.300,1.000
29.100,41.100,29.800,1.000
28.600,40.000,31.300,1.000
28.100,38.900,32.900,1.000
27.600,37.800,34.600,1.000
27.000,36.700,36.300,1.000
35.100,54.000,10.900,0.500
35.100,53.300,11.500,0.500
35.100,52.700,12.200,0.500
35.100,52.000,12.900,0.500
35.100,51.300,13.600,0.500
35.000,50.600,14.400,0.500
35.000,49.800,15.200,0.500
34.800,49.100,16.100,0.500
34.700,48.300,17.000,0.500
34.600,47.500,17.900,1.000
34.400,46.700,18.900,1.000
34.100,45.900,20.000,1.000
33.900,45.000,21.100,1.000
33.600,44.100,22.300,1.000
33.300,43.200,23.500,1.000
32.900,42.300,24.800,1.000
32.500,41.400,26.100,1.000
32.100,40.400,27.500,1.000
31.600,39.500,28.900,1.000
31.100,38.500,30.400,1.000
30.600,37.500,31.900,1.000
30.000,36.400,33.500,1.000
29.400,35.400,35.200,1.000
38.200,50.600,11.200,0.500
38.200,50.000,11.900,0.500
38.100,49.300,12.500,0.500
38.100,48.700,13.200,0.500
38.000,48.000,14.000,0.500
37.900,47.300,14.700,0.500
37.800,46.600,15.600,0.500
37.600,45.900,16.400,0.500
37.500,45.200,17.400,0.500
37.300,44.400,18.300,0.500
37.000,43.700,19.300,1.000
36.700,42.900,20.400,1.000
36.400,42.100,21.500,1.000
36.100,41.200,22.700,1.000
35.700,40.400,23.900,1.000
35.300,39.500,25.200,1.000
34.800,38.700,26.500,1.000
34.300,37.800,27.900,1.000
33.800,36.900,29.400,1.000
33.200,35.900,30.800,1.000
32.600,35.000,32.400,1.000
41.300,47.800,10.900,0.500
41.300,47.200,11.500,0.500
41.300,46.600,12.100,0.500
41.200,46.000,12.800,0.500
41.100,45.400,13.500,0.500
41.000,44.800,14.200,0.500
40.900,44.100,15.000,0.500
40.700,43.500,15.900,0.500
40.500,42.800,16.700,0.500
40.200,42.100,17.700,0.500
40.000,41.400,18.600,0.500
39.700,40.700,19.600,1.000
39.300,40.000,20.700,1.000
39.000,39.200,21.800,1.000
38.500,38.400,23.000,1.000
38.100,37.700,24.200,1.000
37.600,36.900,25.500,1.000
37.100,36.000,26.900,1.000
36.500,35.200,28.200,1.000
35.900,34.400,29.700,1.000
35.300,33.500,31.200,1.000
44.500,44.400,11.100,0.500
44.500,43.800,11.700,0.500
44.400,43.300,12.300,0.500
44.300,42.700,13.000,0.500
44.100,42.200,13.700,0.500
44.000,41.600,14.400,0.500
43.800,41.000,15.200,0.500
43.500,40.400,16.100,0.500
43.300,39.800,16.900,0.500
43.000,39.100,17.900,0.500
42.700,38.500,18.800,0.500
42.300,37.800,19.900,0.500
41.900,37.100,20.900,1.000
41.500,36.400,22.100,1.000
41.000,35.700,23.200,1.000
40.500,35.000,24.500,1.000
40.000,34.300,25.700,1.000
39.400,33.500,27.100,1.000
38.800,32.800,28.500,1.000
47.700,41.100,11.200,0.500
47.600,40.600,11.800,0.500
47.500,40.100,12.400,0.500
47.300,39.600,13.100,0.500
47.100,39.100,13.800,0.500
46.900,38.500,14.600,0.500
46.700,38.000,15.400,0.500
46.400,37.400,16.200,0.500
46.100,36.800,17.100,0.500
45.700,36.300,18.000,0.500
45.400,35.700,19.000,0.500
45.000,35.100,20.000,0.500
44.500,34.400,21.100,1.000
44.000,33.800,22.200,1.000
43.500,33.200,23.400,1.000
42.900,32.500,24.600,1.000
42.300,31.800,25.900,1.000
50.800,37.900,11.300,0.500
50.700,37.500,11.900,0.500
50.500,37.000,12.500,0.500
50.300,36.500,13.200,0.500
50.100,36.100,13.900,0.500
49.800,35.600,14.600,0.500
49.500,35.100,15.400,0.500
49.200,34.600,16.200,0.500
48.800,34.000,17.100,0.500
48.400,33.500,18.000,0.500
48.000,33.000,19.000,0.500
47.600,32.400,20.000,0.500
47.100,31.900,21.100,0.500
46.500,31.300,22.200,1.000
45.900,30.700,23.400,1.000
53.900,34.900,11.300,0.500
53.700,34.500,11.900,0.500
53.400,34.100,12.500,0.500
53.200,33.600,13.200,0.500
52.900,33.200,13.900,0.500
52.600,32.800,14.600,0.500
52.300,32.300,15.400,0.500
51.900,31.800,16.200,0.500
51.500,31.400,17.100,0.500
51.100,30.900,18.000,0.500
50.600,30.400,19.000,0.500
50.100,29.900,20.000,0.500
49.600,29.400,21.000,0.500
56.600,31.600,11.800,0.500
56.300,31.300,12.400,0.500
56.000,30.900,13.100,0.500
55.700,30.500,13.800,0.500
55.400,30.100,14.500,0.500
55.000,29.700,15.300,0.500
54.600,29.300,16.100,0.500
54.200,28.900,17.000,0.500
53.700,28.400,17.900,0.500
